MQ 3;MQ 135;QCM
0,8566;0,9067;0
0,8655;0,9798;1
0,9229;1,2585;0
0,9029;0,9067;0
0,9882;1;0
0,8148;0,89;0
0,9029;1,168;0
0,9437;0,9605;0
0,9128;1,0896;1
0,8566;0,9605;0
0,8838;0,9239;1
0,9437;1;0
0,9128;0,9605;1
0,8933;1;1
0,9229;1,2918;1
0,8746;1;1
0,8933;0,9239;1
0,8838;0,9798;1
0,9437;0,9419;1
0,9654;1;0
0,8746;0,8585;0
0,9128;0,9419;0
0,9029;1,0657;0
0,9128;1,1407;1
0,8933;0,9605;0
0,8933;1,1407;1
0,9128;0,9419;0
0,9229;1,1967;1
0,9437;0,9798;0
0,9128;0,9419;1
0,8746;1;1
0,9767;1;1
0,9437;1,021;1
0,9029;0,9419;0
0,9029;1,168;0
0,9128;0,9419;0
0,9128;1,021;1
0,9128;1,168;0
0,8746;0,9419;1
0,9029;0,9419;1
0,9437;0,9605;1
0,8838;1;0
0,9029;1,0429;0
0,8746;0,8585;0
0,9882;1;1
0,8838;0,9605;1
0,9437;0,9605;0
0,9128;1,1407;0
0,8746;0,8585;0
0,9029;1,021;1
0,9128;1,0657;0
0,8655;1;1
0,9029;0,9239;1
0,8655;0,9067;0
0,9128;1,168;0
0,9229;0,9419;1
0,9128;1;1
0,9128;1,168;1
0,8746;0,8436;0
0,8566;0,9798;1
0,9332;1,1967;0
0,9029;1,0429;1
0,9029;0,9798;0
0,9128;0,89;0
0,9437;0,9798;0
0,8655;0,9798;0
0,9029;1,168;0
0,9029;1,1407;0
0,8838;0,8436;1
0,9229;1,0896;0
0,8933;0,9798;0
0,9229;1,2268;0
0,9229;0,9419;1
0,9332;0,9067;1
0,9882;1;1
0,9029;0,9605;1
0,9332;1,2585;0
0,9332;1,1145;0
0,8746;0,874;0
0,9128;1,168;0
0,9229;0,9419;0
0,9437;0,9798;0
0,9229;1,1145;0
0,8838;1,0657;0
0,9544;0,9798;0
0,9128;1,1145;0
0,9229;0,9419;0
0,9128;1,0429;0
0,8566;0,8436;0
0,9229;1,0429;0
0,9029;0,9798;0
0,9437;0,9605;0
0,9437;0,9605;0
0,8566;0,874;0
0,9437;1,2918;0
0,9332;1,2585;1
0,9544;0,9798;1
0,9229;1,0657;1
0,8933;1;0
0,9229;0,9605;0
0,9229;1,0896;0
0,9229;0,9605;0
0,9437;1;1
0,8746;0,9798;0
0,9332;1,2268;1
0,9882;1;0
0,9128;1,1145;0
0,9229;0,9419;0
0,8479;0,89;0
0,9437;0,9798;0
0,9229;1,0657;0
0,9128;0,9605;0
0,9332;1,1407;0
0,9128;0,8436;1
0,9437;1;1
0,8655;0,9798;1
0,9229;0,9419;1
0,9437;0,9605;1
0,9332;0,874;1
0,9128;1,168;1
0,9437;1,2585;1
0,9128;0,9239;1
0,9654;0,9798;1
0,9437;0,9067;1
0,9229;0,9605;1
0,9544;0,9605;1
0,8746;1;1
0,9229;0,9239;1
0,831;0,89;1
0,9544;1,0429;1
0,9229;1,1145;1
0,9229;0,9419;1
0,9128;1,0429;1
0,9029;0,8585;1
0,9128;1,1407;1
0,9128;0,9067;1
0,9332;1,0896;1
0,9332;1,2585;1
0,9128;0,89;1
0,9029;0,9605;1
0,9437;1,0657;1
0,9229;1,021;1
0,9332;1,0896;0
0,9029;1,1145;0
0,9229;1,021;0
0,9437;1,1145;1
0,9437;1,2268;1
0,9332;0,9798;0
0,8655;0,9239;0
0,9437;1,2585;0
0,9332;1;0
0,9882;0,9798;1
0,9882;1;1
0,8746;0,8585;1
0,9332;1,2268;1
0,9437;1,2585;1
0,9544;0,9605;1
0,9229;1,0657;1
0,8566;0,874;1
0,9437;1,2268;1
0,9437;1,2585;1
0,9544;0,9419;1
0,9332;0,9419;1
0,9128;0,89;1
0,9229;1;1
0,9332;1,021;1
0,9128;1,1145;1
0,9332;0,9419;1
0,831;0,874;1
0,9229;0,9605;1
0,9229;1,1407;1
0,9229;0,9239;1
0,9332;1;1
0,8933;0,874;1
0,9229;1,0657;1
0,9332;0,9605;1
0,9229;0,9605;1
0,9437;1,0896;1
0,8838;0,8585;1
0,9332;0,9419;1
