MQ 3;MQ 135;QCM
0,9654;1,021;0
0,9332;0,9798;0
1,0121;1,0429;0
0,9767;1,0429;0
0,9767;0,9798;0
0,9437;0,9798;0
0,535;0,9605;0
0,3743;0,9605;0
0,3228;0,9605;0
0,3138;1,021;0
0,3214;0,9419;0
0,3393;0,9605;0
0,3608;0,9239;0
0,3851;1,021;1
0,4192;1;0
0,4494;1;1
0,4703;0,9798;0
0,4931;0,9239;0
0,5214;0,9419;0
0,5386;1;1
0,5606;1;0
0,5724;0,9605;0
0,6061;1;0
0,6106;0,9605;1
0,6198;0,9419;1
0,644;0,9419;0
0,649;0,9798;1
0,6542;1;0
0,6701;0,9419;1
0,6756;0,9067;0
0,6811;1,0429;0
0,6983;0,9239;0
0,6983;0,9419;0
0,7043;0,9605;0
0,7103;1,0429;1
0,729;0,9798;0
0,7227;1,0657;1
0,729;0,9798;1
0,7355;0,9605;0
0,7488;0,9419;1
0,7421;1,021;1
0,7556;0,9798;0
0,7696;0,9419;0
0,7696;0,9798;0
0,7696;0,9798;0
0,7768;0,9798;1
0,7841;1,0429;1
0,7768;0,9798;1
0,7915;0,9798;1
0,7991;0,9798;1
0,7991;0,9605;1
0,7696;0,9419;0
0,7991;0,9419;0
0,7991;1;0
0,8148;1,021;0
0,8069;1,0657;1
0,8228;0,9798;1
0,7841;0,9419;1
0,8394;1,021;1
0,8394;1,021;0
0,8394;1,021;0
0,8479;0,9798;0
0,831;0,9798;0
0,8746;1,0896;0
0,8394;0,9419;0
0,8394;1;0
0,8479;0,9798;1
0,8566;0,9798;1
0,8479;0,9798;1
0,8655;1;1
0,8655;1,021;1
0,8394;0,9239;0
0,8746;1,021;0
0,8655;0,9798;0
0,8655;0,9239;1
0,8746;0,9605;1
0,8838;1,021;1
0,9029;1,021;1
0,8838;0,9605;0
0,8838;0,9798;1
0,8746;1;0
0,8746;0,9798;1
0,8838;0,9605;0
0,8838;0,9798;1
0,7915;0,7519;0
0,8838;0,9798;1
0,8933;0,9419;0
0,8933;1,0657;0
0,8838;0,9605;0
0,8148;0,7519;0
0,9029;0,9605;0
0,8933;0,9419;1
0,8838;0,9419;0
0,9029;0,9605;1
0,8148;0,776;0
0,9128;0,9419;1
0,8933;1,021;1
0,9029;0,9239;1
0,9029;0,9419;1
0,8394;0,7887;1
0,9128;0,9605;1
0,9128;0,9605;0
0,9128;0,9605;0
0,8838;0,9605;0
0,8479;0,7887;0
0,9437;0,9798;0
0,9229;1;1
0,9332;1,0429;0
0,9229;0,9419;1
0,8479;0,8017;0
0,9229;1,0657;1
0,9128;0,9798;0
0,9229;0,9605;1
0,8838;0,9605;0
0,8479;0,8152;1
0,9332;1;0
0,9437;1,0429;1
0,8933;1;0
0,9332;0,9419;1
0,8838;0,874;0
0,8933;0,9605;1
0,9332;0,9605;0
0,9437;0,9605;1
0,8933;0,9798;0
0,8655;0,8152;1
0,9654;0,9605;1
0,9437;1;0
0,9437;0,9798;0
0,9767;1,021;0
0,8838;0,8292;1
0,9332;1;0
0,9029;0,9605;1
0,9029;0,9605;0
0,9544;0,9419;1
0,8838;0,8292;1
0,9544;0,9419;1
0,9437;0,9419;1
0,9437;0,9798;0
0,9544;0,9419;0
0,8933;0,874;0
0,9437;1;0
0,9544;0,9798;0
0,9544;0,9605;0
0,9654;0,9605;0
0,8933;0,874;0
0,9544;1;1
0,9332;0,9605;1
0,9544;0,9605;1
0,9544;1,021;1
0,8933;0,89;0
0,9654;0,9798;0
0,9654;0,9605;0
0,9437;0,9605;1
0,9767;1;1
0,9128;0,8292;1
1;1,021;1
0,9654;0,9798;0
0,9229;0,9419;1
0,9654;0,9419;1
0,9029;0,8436;0
0,9654;0,9605;1
0,9882;1;1
0,9767;0,9605;1
1;1,0896;1
0,9029;0,8292;1
0,9882;1;0
0,9767;0,9798;0
1;0,9798;0
0,9767;0,9239;0
0,9029;0,8292;0
0,9767;0,9798;0
0,9654;0,9605;0
0,9767;0,9605;0
0,9882;0,9798;0
0,9229;0,9239;0
0,9882;0,9605;0
0,9654;1,021;0
0,9767;1,0429;0
0,9882;0,9798;1
0,8746;0,874;1
