MQ 3;MQ 135;QCM
1,05;0,9798;1
1,05;0,9419;2
1,05;1;1
0,5281;0,9798;2
0,3126;0,9419;0
0,2489;1;1
0,2268;0,8436;1
0,2248;0,8436;0
0,2302;0,7887;1
0,2255;0,8292;1
0,2323;0,8017;1
0,2403;0,8152;1
0,2489;0,7887;0
0,2597;0,8017;0
0,2753;0,9605;1
0,2972;0,89;1
0,3176;0,8436;0
0,335;0,8436;2
0,3528;0,9419;1
0,3726;0,9605;1
0,3926;1,021;1
0,4127;0,8292;1
0,4303;1,05;1
0,4545;0,89;1
0,4649;1;1
0,4786;0,874;1
0,4961;0,8585;1
0,5084;1,021;0
0,5281;1;0
0,5457;0,9239;0
0,5457;0,9605;1
0,5568;0,89;1
0,5724;0,9239;1
0,5805;1,05;1
0,5888;1,0429;0
0,6106;0,9239;0
0,593;0,89;0
0,6106;0,9067;0
0,6245;1,0429;0
0,644;0,89;0
0,6341;0,9419;1
0,639;0,9798;1
0,644;0,9239;1
0,6594;1,05;1
0,6594;0,9067;1
0,6701;1,05;1
0,6811;1,0429;0
0,6868;0,9067;0
0,7103;0,9067;0
0,6983;1,0429;1
0,7103;1,05;1
0,7165;1,05;1
0,7103;0,9239;0
0,7043;0,9067;0
0,7488;0,9239;0
0,7355;1,05;1
0,7355;0,9067;1
0,7625;0,9605;1
0,7556;0,9605;0
0,7556;1,05;0
0,7488;1,05;1
0,7488;1;2
0,7625;1,05;1
0,7696;0,9605;1
0,7915;0,9419;1
0,7768;1,05;1
0,7768;1,05;1
0,7915;0,9798;1
0,7915;1,05;0
0,8394;0,9239;1
0,8479;0,9798;0
0,7915;1,05;1
0,7915;1,05;1
0,8069;1,05;1
0,8069;0,9239;1
0,8069;1,05;2
0,8394;1,05;1
0,8069;1,05;0
0,8228;0,9419;0
0,8228;1,05;0
0,8394;0,9798;0
0,831;0,9419;0
0,8479;0,9798;0
0,8655;0,9239;1
0,8655;0,9419;1
0,8746;0,9239;1
0,8394;1;0
0,9029;0,9798;1
0,8479;0,9239;1
0,8479;1,0429;1
0,8655;0,9605;1
0,8655;1,05;1
0,8655;1,05;1
0,9229;0,9419;1
0,856;0;1
0,8933;0,9605;1
0,8655;1,05;0
0,8655;1,0429;0
0,8655;1,05;0
0,9029;0,9798;0
0,8838;0,9798;0
0,8838;1,05;1
0,8746;0,9798;1
0,8838;1,05;1
0,9128;0,9798;1
0,8838;0,9419;1
0,9128;0,9798;0
0,8838;0,9419;0
0,8838;0,9239;1
0,8933;1,05;1
0,9229;0,9798;0
0,8933;1,05;0
0,9654;0,9798;1
0,8933;1,05;1
0,9029;0,9419;0
0,9332;0,9798;0
0,8933;1,021;1
0,9128;1,05;1
0,8933;0,9605;1
0,9229;0,9798;0
0,9229;1,05;0
0,9767;0,9419;0
0,9128;0,9239;1
0,8838;0,9239;1
0,9128;1,05;1
0,9332;1;0
0,9229;1,0429;0
0,9437;0,9798;0
0,9882;0,9239;1
0,9229;1,05;1
0,9882;0,9419;1
0,9332;1,021;1
0,9437;0,9798;0
0,9229;0,9239;1
0,9437;1,05;0
0,9654;0,9798;1
0,9332;1,021;0
0,9767;0,9798;1
0,9882;1;0
0,9654;1,05;1
0,9229;0,9798;0
0,9767;0,9605;1
0,9332;1,021;1
0,9437;1,05;1
0,9437;1,05;1
0,9767;0,9798;1
0,9544;1,05;0
0,9654;1,05;0
0,9544;1,05;1
0,9882;0,9798;1
0,9882;1;1
0,9544;1,05;1
0,9437;0,9605;0
0,9332;1;0
1;0,9798;0
1,05;0,9605;1
0,9544;1,05;0
0,9654;1,05;1
0,9229;1;0
0,9544;1,05;1
0,9882;1;1
0,9767;1,021;0
0,9654;1,05;1
0,9654;0,9798;1
0,9544;0,9419;1
0,9767;1,05;1
1,0371;1,05;1
0,9654;1,05;0
0,9767;1,05;0
1;1,05;1
1,0371;0,9419;1
0,9882;0,9605;1
0,9437;1;1
0,9882;0,9419;0
1;1,0429;0
1,0121;0,9798;0
1,0371;0,9605;1
1,05;0,9419;1
0,9767;0,9798;1
1,0121;1,05;1
