MQ 3;MQ 135;QCM
1,05;1,05;1
1,05;0,9419;2
1,05;1,021;1
1,0244;0,9605;2
1,05;1;0
1,05;1,05;1
1,05;0,9419;1
1,05;1;0
0,9882;0,8436;1
1,05;1,05;1
1,05;0,9239;1
1,05;0,9605;1
0,5888;1,05;0
0,3761;0,8017;0
0,315;0,874;1
0,2885;0,6877;1
0,2792;0,678;0
0,2802;0,6335;2
0,2885;0,547;1
0,2972;0,6686;1
0,3189;0,6595;1
0,3422;0,6253;1
0,3708;0,7519;1
0,4106;0,6094;1
0,4326;0,6976;1
0,4545;0,776;1
0,4814;0,8292;1
0,5022;0,8017;0
0,5053;0,6877;0
0,5421;0,9239;0
0,5606;0,9067;1
0,5764;0,9605;1
0,6245;0,776;1
0,5846;0,7184;1
0,6152;0,9239;0
0,6292;0,9067;0
0,644;0,8152;0
0,649;0,9419;0
0,649;0,6877;0
0,6756;0,8436;0
0,6983;0,8436;1
0,6868;1,05;1
0,6983;0,8585;1
0,6756;0,8436;1
0,6868;0,89;1
0,7103;0,8585;1
0,7841;0,8436;0
0,7421;0,8585;0
0,7421;0,7292;0
0,7556;1,021;1
0,7227;0,89;1
0,7768;1,05;1
0,7696;0,9798;0
0,7768;0,7184;0
0,8069;0,874;0
0,7991;0,9239;1
0,7768;0,874;1
0,7991;1,0429;1
0,7488;0,7292;0
0,8069;1;0
0,7991;0,9067;1
0,8228;1,05;2
0,8228;1,021;1
0,7841;0,7519;1
0,831;1,05;1
0,831;0,89;1
0,8394;1,0429;1
0,8746;0,9419;1
0,8148;0,776;0
0,8479;1,021;1
0,8655;0,9419;0
0,8566;1,05;1
0,8655;0,9419;1
0,7991;0,874;1
0,8838;1,0429;1
0,8394;0,9239;2
0,8746;1,021;1
0,8838;1,05;0
0,831;0,7887;0
0,8746;1,0429;0
0,9229;1;0
0,9128;1,05;0
0,8933;1,021;0
0,8933;0,7519;1
0,9029;0,9605;1
0,9029;1,05;1
0,9128;1,05;0
0,9029;0,9419;1
0,8148;0,7887;1
0,9229;1,05;1
0,9654;0,9419;1
0,9029;0,9067;1
0,9128;1,0429;1
0,8746;0,9605;1
0,9437;0,9605;1
0,9437;0,9067;1
0,9437;1,05;0
0,9544;0,9605;0
0,8655;0,9419;0
0,9882;0,9419;0
0,9654;1,021;0
0,9437;0,9419;1
0,9437;1,05;1
0,8838;0,8017;1
0,9437;0,9067;1
0,9437;1,05;1
1,0244;0,9239;0
0,9544;1,0429;0
0,8746;0,7887;1
0,9332;0,9605;1
1,05;0,9419;0
1;0,9419;0
0,9767;1,05;1
0,9437;0,7887;1
1;0,9605;0
0,9029;0,9067;0
0,9332;0,9605;1
0,9437;0,9605;1
0,9654;0,8017;1
1,05;0,9419;0
1,0371;0,9605;0
0,9882;1,0429;0
0,9654;0,9605;1
0,9437;0,7638;1
1,05;0,9605;1
1;1,05;0
1,05;0,9419;0
0,9882;1,05;0
0,9029;0,89;1
1,05;0,9419;1
1,0371;0,9798;1
1,0371;0,9798;1
0,9882;1,021;0
0,8933;0,9067;1
0,9882;0,9798;0
1;1,05;1
1,0121;1,05;0
1,0244;1,05;1
0,9544;0,7887;0
1,0121;1,05;1
1,0121;0,9419;0
1,0121;1,05;1
1,0121;1,0429;1
0,9654;0,776;1
1;0,9067;1
1;1,05;1
1,05;0,9419;0
1,0121;1,05;0
0,9654;0,7638;1
1,0244;0,9239;1
1,0244;1,05;1
1,0244;1,05;1
1,05;0,9419;0
0,8933;0,8436;0
1,0371;0,9605;0
1,0121;1,05;1
1,0244;1,05;0
1,0371;0,9605;1
0,9128;0,7887;0
1,05;0,9605;1
1,0244;0,9239;1
1,0244;1,05;0
1,05;1;1
0,9128;0,8436;1
1,05;1;1
1,0121;0,9798;1
1,05;1,05;1
1,05;0,9239;0
1,0371;1,05;0
1,05;0,9239;1
1,05;0,9419;1
1,05;1,05;1
1,05;0,9798;1
1,05;1,05;0
1,05;0,9419;0
1,0371;1,0429;0
1;1,021;1
1,05;0,9798;1
1,05;1;1
1,05;1,05;1
