MQ 3;MQ 135;QCM
0,8479;0,9239;1
0,8394;0,9067;1
0,8655;1,05;1
0,8566;0,9798;1
0,8566;0,8436;0
0,8933;1,05;1
0,8394;0,9067;1
0,8566;0,9067;0
0,8746;1,05;0
0,831;0,9239;1
0,8394;0,9239;1
0,8566;0,9239;1
0,9128;0,9605;1
0,9029;0,9419;2
0,7043;0,8436;1
0,4596;1,05;1
0,3814;0,8585;1
0,3528;0,874;1
0,3336;0,9239;1
0,3113;0,6976;1
0,3077;0,874;0
0,3101;0,7638;1
0,315;0,8292;1
0,3214;0,7404;0
0,3267;0,6595;1
0,3408;0,7519;0
0,3528;0,7184;1
0,3691;0,8017;1
0,3907;0,89;1
0,4106;0,7404;0
0,4258;0,7638;1
0,4445;0,89;1
0,4703;0,9239;1
0,4961;0,9798;1
0,4991;0,8292;1
0,535;0,89;0
0,5494;0,8017;1
0,5531;0,89;1
0,5645;0,8152;1
0,5684;0,8292;1
0,593;0,9067;2
0,6017;0,9798;1
0,6341;0,8585;0
0,6198;0,7887;1
0,6198;0,7404;1
0,644;1;0
0,6701;0,874;1
0,6542;0,9419;1
0,6594;0,8436;0
0,6701;0,776;1
0,6756;0,9798;1
0,6983;0,8436;1
0,6983;1,021;1
0,7355;0,89;1
0,6701;0,7404;1
0,7165;0,89;1
0,6983;0,8436;1
0,7227;0,874;1
0,6983;0,874;1
0,6811;0,874;0
0,7227;0,89;1
0,7165;1,05;1
0,7043;0,9239;1
0,7165;0,8585;0
0,6983;0,8436;1
0,7227;0,874;1
0,729;0,9798;1
0,7556;0,8585;1
0,7488;0,9239;1
0,7165;0,9067;1
0,7768;0,9067;0
0,7421;1,0429;1
0,7488;1,05;1
0,7696;0,89;1
0,7227;0,7638;1
0,7355;0,89;1
0,7421;1,0429;0
0,7556;1,05;1
0,7768;1,05;1
0,7488;0,8017;0
0,7696;1,0429;1
0,7556;0,8436;1
0,7556;0,874;1
0,7625;1,05;1
0,7488;0,776;2
0,7915;0,9067;1
0,7768;0,874;0
0,7841;0,874;2
0,8394;0,89;1
0,8069;0,8152;1
0,8228;0,9067;1
0,8069;1,05;1
0,7915;0,9798;0
0,8148;1;0
0,7696;0,7887;1
0,8069;1,021;1
0,8069;1,05;0
0,7991;1;1
0,8228;0,9067;0
0,7696;0,7638;0
0,7991;1;0
0,7915;0,9067;2
0,8069;1,05;1
0,8148;1,05;1
0,7991;1,021;1
0,8069;1,05;0
0,8228;0,874;1
0,8228;1,021;1
0,8228;0,874;0
0,7915;0,7887;2
0,8479;1,05;1
0,8228;0,89;0
0,831;0,874;0
0,7991;0,89;0
0,8148;0,8292;0
0,8148;1,05;1
0,8394;0,9067;1
0,8148;1,021;1
0,8148;1,05;1
0,7841;0,9067;0
0,8479;0,9419;2
0,8228;1,0429;1
0,8746;0,9239;0
0,8228;0,8436;1
0,831;0,8292;1
0,8479;1,05;0
0,8566;0,874;1
0,8479;1,05;1
0,8479;1,05;1
0,7915;0,7887;1
0,8394;1,05;0
0,8148;0,8436;1
0,8228;0,8585;0
0,8228;1,05;1
0,7915;0,89;0
0,8148;0,89;0
0,8228;1,0429;1
0,8228;0,874;0
0,8228;0,874;1
0,7991;0,9419;2
0,8228;0,9798;1
0,8228;1;1
0,8394;1,05;1
0,8566;0,9798;1
0,7991;0,8585;0
0,8228;0,9067;0
0,9128;0,9239;1
0,8655;1,0429;0
0,8566;1,05;0
0,8069;0,8436;0
0,8838;0,9239;1
0,831;1;1
0,8746;0,9419;0
0,8479;1,021;1
0,8069;0,9239;0
0,8479;0,89;1
0,8566;0,89;0
0,8746;0,9067;1
0,8566;0,89;0
0,8228;0,9798;0
0,8394;0,89;0
0,8566;0,874;-1
0,8394;0,874;0
0,8394;0,874;1
0,8394;1,05;0
0,8394;1,0429;1
0,8394;0,9067;1
0,8394;1;1
0,831;0,9605;1
0,831;0,8152;0
0,8479;0,9067;1
0,8394;0,8585;0
0,8394;0,874;0
0,8394;0,89;1
0,7991;0,776;0
0,831;0,9605;0
0,8655;0,9798;1
0,8228;0,89;0
0,8746;0,9067;1
0,8069;0,776;0
