MQ 3;MQ 135;QCM
0,9029;0,8017;1
0,9654;1,05;1
0,9332;1,021;2
0,9437;1,05;1
0,9544;0,9419;1
0,8746;0,9419;2
0,6983;0,9239;1
0,4758;1,05;2
0,3796;0,8436;1
0,3482;0,8152;1
0,335;0,6253;1
0,3228;0,7404;2
0,3189;0,7078;0
0,3308;0,6686;1
0,3281;0,6595;2
0,3364;0,6172;1
0,3437;0,6877;1
0,3592;0,7078;1
0,3814;0,7184;2
0,4024;0,874;1
0,417;0,6877;2
0,4421;0,8017;0
0,4758;0,7292;1
0,4961;0,7404;2
0,5084;0,874;2
0,5281;0,8152;2
0,5724;0,7638;2
0,5606;0,874;3
0,5764;0,7184;2
0,5973;0,9067;2
0,5973;0,8152;2
0,6198;0,7638;2
0,6341;0,7404;2
0,644;0,8585;1
0,6594;0,7292;2
0,6868;0,7078;1
0,6983;0,7638;2
0,6756;0,7519;2
0,6925;0,8585;2
0,7103;0,874;2
0,7103;0,7292;1
0,7421;0,7887;2
0,7103;0,89;1
0,729;0,7887;1
0,7227;0,8292;2
0,7165;0,6877;2
0,7355;0,8436;1
0,7696;1;2
0,7421;0,7519;1
0,7625;0,7638;2
0,7421;0,7078;2
0,7696;0,8436;2
0,7991;0,8017;2
0,7915;1;1
0,8394;0,8017;2
0,7625;0,8017;2
0,8148;0,8017;1
0,7915;0,7638;2
0,7915;0,9419;2
0,7991;0,874;1
0,831;0,7519;1
0,7991;0,8017;1
0,8394;0,7887;1
0,8479;0,8152;2
0,8746;0,8152;2
0,8228;0,7519;2
0,8228;0,7887;1
0,8566;0,8152;2
0,8479;0,8292;3
0,9029;0,8152;2
0,8148;0,9067;2
0,8479;1,021;2
0,8479;0,9605;2
0,831;0,776;2
0,8394;0,7887;2
0,7991;0,8292;2
0,8394;0,9067;2
0,8655;1,0429;2
0,8394;0,8152;1
0,8933;0,8436;2
0,8148;0,7404;2
0,8746;1,0429;1
0,9029;0,8436;2
0,8566;0,8152;2
0,8566;0,9419;2
0,8838;0,7638;2
0,8933;0,8292;1
0,8933;0,8436;2
0,8838;1,05;2
0,9029;0,8585;2
0,831;0,8436;2
0,8746;1,021;3
0,8566;0,874;2
0,8746;0,8152;2
0,8566;0,9798;2
0,8394;0,9067;2
0,8655;1;2
0,8746;0,8292;2
0,8933;0,8436;2
0,9229;0,89;2
0,9029;0,776;2
0,9128;0,8585;2
0,8933;0,9605;2
0,9029;1,05;3
0,8838;0,9605;1
0,8838;0,8152;2
0,8933;0,8436;2
0,9128;1,05;1
0,9029;0,8585;2
0,8933;0,8436;2
0,8479;0,7887;2
0,8746;0,8292;1
0,9128;1,05;2
0,9029;1,021;3
0,9128;1,05;2
0,9029;0,8152;1
0,9029;1;2
0,9128;1;3
0,9437;0,9067;2
0,9654;0,9605;2
0,8655;0,776;2
0,9029;0,874;2
0,9029;1,05;2
0,9029;1;1
0,9029;0,9067;2
0,8655;0,89;2
0,8933;0,9419;2
0,8933;0,9239;2
0,9128;0,9605;2
0,9229;1;3
0,8394;0,7887;2
0,9029;0,9798;3
0,9128;1,05;2
0,9437;0,9067;2
0,9229;1,021;2
0,8655;0,7887;2
0,9029;0,8436;2
0,9437;0,89;2
0,9654;0,9239;3
0,9029;0,8585;2
0,8655;0,9419;2
0,9128;0,874;2
0,9229;1,021;2
0,9128;0,89;2
0,9229;0,874;2
0,8838;0,9798;2
0,9128;1;3
0,8838;0,9419;1
0,9332;1,05;3
0,9544;0,874;2
0,8838;0,7887;2
0,9544;1,05;2
0,9654;0,9239;2
0,9654;0,9067;2
0,9128;1,05;2
0,8746;0,776;3
0,9437;1,021;2
0,9767;0,9239;2
0,9767;0,89;2
0,9332;0,9239;2
0,9029;0,8436;2
0,9229;1,05;2
1,0121;0,874;1
0,9229;1;2
0,9029;0,89;2
0,9029;1;2
0,9437;1,0429;2
0,9332;1,05;2
1,0244;0,9419;2
0,9332;1,0429;2
0,9544;0,8436;2
0,9229;1,0429;2
0,9229;0,9419;2
1,0244;0,874;2
0,9437;1,05;2
0,8746;0,8152;3
0,9128;0,9239;1
0,9128;0,9067;3
0,9882;0,9239;2
0,9332;0,9798;3
