MQ 3;MQ 135;QCM
1,05;0,89;1
0,9654;0,89;-1
0,9437;0,9798;0
1,0244;0,9798;-1
0,9654;1,021;0
0,9029;0,9239;0
0,7165;0,8292;0
0,5053;0,678;0
0,4024;0,7638;0
0,3743;0,6595;0
0,3422;0,6253;0
0,3322;0,7078;1
0,3295;0,6595;0
0,335;0,6172;1
0,3408;0,6335;0
0,3482;0,6253;1
0,3691;0,7292;0
0,3926;0,6094;0
0,4086;0,6506;0
0,4326;0,6419;0
0,4596;0,6506;0
0,4786;0,6335;0
0,5053;0,58;0
0,5568;0,6419;0
0,5568;0,7078;0
0,5764;0,7404;-1
0,5846;0,678;0
0,6245;0,5944;0
0,644;0,6595;0
0,639;0,7404;0
0,6542;0,6506;0
0,6647;0,7519;0
0,6701;0,6335;-1
0,6811;0,8152;1
0,7165;0,678;0
0,7355;0,678;0
0,7103;0,678;0
0,6925;0,6877;0
0,7227;0,8152;0
0,7103;0,7292;0
0,7915;0,7184;0
0,7625;0,7078;0
0,7227;0,7887;0
0,7488;0,8436;1
0,7625;0,8017;1
0,7915;0,7292;0
0,7768;0,7404;0
0,7991;0,6686;0
0,7991;0,7638;0
0,8069;0,7292;1
0,8228;0,7638;0
0,7915;0,7292;0
0,7991;0,6976;0
0,8148;0,7887;1
0,7991;0,8152;0
0,7991;0,776;0
0,8655;0,7887;0
0,7915;0,7887;0
0,8566;0,8152;0
0,831;0,874;0
0,8566;0,7887;0
0,831;0,8585;1
0,7991;0,874;0
0,8394;0,9239;0
0,8655;0,776;0
0,8479;0,8152;-1
0,8479;0,9419;1
0,8479;0,7519;0
0,9029;0,776;1
0,8746;0,8152;1
0,8479;0,8017;1
0,8479;0,9605;1
0,8228;0,8292;0
0,9229;0,7887;0
0,9128;0,7887;0
0,8566;0,8436;0
0,8655;1;0
0,831;0,8292;0
0,8655;0,9067;1
0,8655;0,9419;0
0,8746;0,9798;0
0,8228;0,8152;0
0,9229;0,874;0
0,8933;1;0
0,8838;0,9605;0
0,9544;0,8152;0
0,8838;0,7519;0
0,8933;0,874;0
0,9332;0,8585;1
0,8933;0,8292;0
0,8838;0,9798;1
0,8933;0,7887;0
0,8933;1,05;0
0,9029;1,021;1
0,9229;0,874;1
0,9882;0,89;0
0,8655;0,9419;1
0,8933;0,9067;0
0,9029;1,05;0
0,8933;0,89;1
0,9128;0,8585;0
0,8566;0,8017;-1
0,9437;0,9067;0
0,9029;0,9067;1
0,9128;0,9798;0
0,9128;1,0429;0
0,8746;0,7887;0
0,9437;0,8436;0
0,9128;0,9067;0
0,9029;0,89;0
0,8933;0,89;1
0,8746;0,7638;-1
0,9437;1,05;0
0,9029;0,874;0
0,9229;0,9067;1
0,9437;0,9067;1
0,9128;0,7887;0
0,9229;1,05;1
1;0,8585;0
0,9128;0,8292;0
0,8933;0,89;1
0,8838;0,9419;0
0,9128;1,05;0
0,9229;1;1
0,9654;0,9067;1
0,9437;1,05;0
0,9128;0,8152;1
0,9332;1;-1
0,9229;0,8436;1
1;0,8585;1
0,9544;0,9067;1
0,8838;0,89;1
0,9332;1,05;0
0,9128;1,05;0
0,9332;0,8585;0
1,0121;0,9239;1
0,9029;0,8152;1
0,9767;0,9239;0
0,9229;0,9419;0
0,9882;0,9239;1
0,9332;1,05;0
0,8838;0,89;0
0,9332;0,9605;1
0,9437;0,9239;0
0,9128;0,9067;1
0,9332;1;0
0,9229;0,776;1
0,9229;0,9239;0
0,9229;1,05;1
0,9437;0,874;1
0,9544;1,05;0
0,9332;0,8436;1
0,9437;1,021;1
0,9437;0,9605;0
0,9229;0,9239;0
1,0121;0,9239;0
0,8933;0,8152;0
0,9332;1,05;1
0,9654;0,9067;0
0,9332;1,05;1
0,9437;0,9239;2
0,9654;0,776;1
0,9332;1;2
0,9437;0,9605;0
0,9332;0,9067;1
0,9654;1,05;0
0,9767;0,7887;1
0,9882;0,9067;0
0,9332;0,9239;0
0,9654;0,9239;0
0,9437;1,021;2
0,8933;0,8152;2
0,9654;1,05;1
0,9332;0,9239;2
0,9437;0,9798;0
0,9437;0,874;1
0,9229;0,8436;0
0,9767;1,05;0
0,9437;0,9419;0
0,9882;0,9239;0
