MQ 3;MQ 135;QCM
0,9767;1,05;2
0,9882;1,05;2
0,9767;0,9605;1
1;1,05;1
0,9128;0,776;0
0,9654;1,021;1
0,9654;1,021;0
0,9654;1;0
0,8655;0,9067;1
0,6106;0,7519;0
0,5053;0,7184;0
0,4545;0,6253;1
0,4086;0,6172;1
0,4004;0,5871;0
0,387;0,5597;1
0,3761;0,6172;2
0,3851;0,5871;1
0,3833;0,5871;0
0,3726;0,6253;1
0,3761;0,5871;1
0,3726;0,6335;1
0,3743;0,6506;0
0,387;0,6595;1
0,3926;0,678;1
0,3965;0,6419;1
0,4065;0,8017;1
0,4192;0,7078;1
0,4326;0,7519;2
0,4397;0,6877;1
0,4622;0,6976;1
0,4786;0,6976;1
0,5022;0,7638;1
0,5281;0,6877;2
0,5386;0,6976;2
0,5494;0,7078;2
0,5805;0,7292;1
0,5973;0,6877;2
0,6106;0,874;0
0,644;0,7078;0
0,649;0,6686;1
0,6811;0,6976;1
0,6594;0,7519;2
0,6701;0,7887;1
0,6811;0,89;2
0,6647;0,6595;0
0,729;0,7404;0
0,7421;0,7404;1
0,7165;0,7519;0
0,7421;0,7519;1
0,7103;0,678;0
0,7355;0,89;2
0,7421;0,776;1
0,7556;0,8017;1
0,7625;0,7638;2
0,7421;0,6506;1
0,7768;0,7519;2
0,7696;0,7638;1
0,7915;0,7519;1
0,8148;0,776;1
0,7696;0,6877;1
0,8394;0,776;1
0,8228;0,7404;0
0,8069;0,7638;1
0,7991;0,7404;1
0,7768;0,6976;0
0,8566;0,7519;1
0,8148;0,8436;1
0,8228;0,8152;1
0,831;0,7638;1
0,7768;0,7404;0
0,8069;0,8152;1
0,8566;0,776;0
0,8394;0,89;1
0,8838;0,776;-1
0,7841;0,6877;0
0,9029;0,7519;1
0,8746;0,7519;1
0,8566;0,776;0
0,8746;0,7519;1
0,7915;0,7404;2
0,8394;0,9419;1
0,8933;0,7638;1
0,8479;0,9067;1
0,8566;0,8585;0
0,8069;0,8017;0
0,8655;0,776;1
0,8933;0,8152;0
0,9029;0,7887;0
0,8838;0,7887;1
0,8148;0,7887;1
0,9654;0,8152;0
0,8746;0,89;1
0,8933;0,8017;0
0,8746;0,776;0
0,8479;0,6877;-1
0,8838;0,8292;1
0,8655;0,9239;0
0,8838;0,9419;0
0,9029;0,8292;0
0,8228;0,8585;-1
0,9332;0,8017;1
0,8838;0,8152;0
0,9544;0,8436;1
0,8838;0,874;0
0,8394;0,7292;0
0,8933;0,9605;1
0,8838;0,8585;0
0,8933;0,9067;1
0,9029;1;0
0,831;0,7887;0
0,8933;0,89;0
8933;0,9067;0
0,9332;0,8152;1
0,9029;0,9;5,8
0,8394;0,7404;1
0,9332;0,8585;0
0,9437;0,8436;0
0,9029;0,89;1
0,8933;0,8585;0
0,8394;0,8152;1
0,9029;0,9239;1
0,9128;0,8292;0
0,9128;0,8436;0
0,9544;0,8436;0
0,8479;0,8436;0
0,9128;0,9798;1
0,9128;1,021;0
0,8933;0,874;0
0,9229;0,9605;1
0,8479;0,8436;0
0,9544;0,8436;1
0,9128;0,9605;0
0,9437;0,89;0
0,9332;0,8585;0
0,8655;0,6976;0
0,9229;0,9798;1
0,9544;0,89;0
0,9544;0,89;1
0,9229;1,05;0
0,8655;0,7404;1
0,9229;1;0
0,9767;0,9067;0
0,9332;0,9067;1
1;0,8585;1
0,831;0,776;1
0,9654;0,874;1
0,9332;0,9239;0
0,9882;0,8436;1
0,9332;1,0429;0
0,8838;0,7519;0
0,9229;0,9798;-1
0,9332;0,9239;1
0,9544;0,89;1
0,9229;0,9067;0
0,9029;0,7404;0
0,9437;0,89;1
0,9437;0,89;1
0,9437;0,9067;1
0,9437;1,021;1
0,8566;0,8436;0
1;0,8436;1
0,9544;0,9239;0
0,9332;0,9239;0
0,9437;0,9798;1
0,8566;0,8017;0
0,9437;1,05;1
0,9332;1,021;1
0,9767;0,9798;1
0,9332;0,9605;1
0,8933;0,7519;0
0,9654;0,8436;1
1,0121;0,8585;1
1;0,874;0
0,9437;1,021;1
0,8394;0,7078;0
0,9437;0,9798;1
0,9654;0,874;1
0,9437;1,021;0
0,9767;0,8585;0
0,8479;0,776;1
