MQ 3;MQ 135;QCM
0,9767;0,9605;1
0,9229;0,9239;1
0,9654;0,9605;2
0,9229;1;2
0,9128;1,05;1
0,9229;0,9067;2
0,7915;0,9067;2
0,649;1,05;1
0,4901;0,8436;2
0,4106;0,8436;1
0,3743;0,8017;2
0,3467;0,776;2
0,3482;0,8152;2
0,3482;0,7078;1
0,3513;0,678;2
0,3576;0,6976;2
0,3726;0,7078;1
0,3761;0,7292;2
0,387;0,6976;1
0,3945;0,8292;1
0,4258;0,776;2
0,4258;0,7887;2
0,4445;0,7404;2
0,4649;0,8152;3
0,4843;0,7184;2
0,5053;0,7887;2
0,5214;0,8292;1
0,5494;0,8436;2
0,5568;0,7887;0
0,593;0,7404;1
0,6017;0,9067;2
0,6106;0,8292;2
0,639;0,7638;2
0,6701;0,7638;2
0,644;0,7292;1
0,6701;0,776;2
0,6868;0,7887;1
0,7103;0,7638;2
0,6983;0,7638;3
0,6983;0,7887;2
0,6868;0,9419;2
0,6983;0,9605;1
0,6925;0,8017;2
0,7103;0,776;2
0,7227;0,8436;2
0,7227;0,8017;2
0,7768;0,8436;1
0,7355;0,874;2
0,7355;0,8292;1
0,7768;0,8292;2
0,7841;0,8585;2
0,7768;0,8585;2
0,7488;0,9798;2
0,7488;0,9067;2
0,7625;0,8292;1
0,7625;0,8585;2
0,7915;0,8436;3
0,7768;0,8292;2
0,7991;0,874;1
0,7768;0,9798;1
0,7768;0,8436;2
0,7841;0,8436;1
0,7696;0,8585;1
0,7841;0,8292;2
0,8069;1,05;2
0,8069;1,0429;2
0,831;0,89;2
0,7915;0,8585;3
0,8228;1;1
0,831;1;2
0,7991;0,874;2
0,7991;0,8292;2
0,8069;1,05;2
0,7841;0,89;1
0,8655;0,9067;2
0,8069;0,8436;1
0,8148;0,9419;2
0,7991;0,89;2
0,8069;1;1
0,8069;0,89;2
0,8228;1,05;1
0,8228;0,8585;2
0,831;1,05;2
0,8148;0,89;2
0,8566;0,9067;1
0,8479;0,89;2
0,8479;0,9239;2
0,8479;1,05;1
0,8655;0,89;2
0,8655;0,89;2
0,8394;1;2
0,8479;0,8585;1
0,8394;1,0429;2
0,8479;0,874;2
0,8655;0,89;1
0,8655;0,89;1
0,9029;0,9239;3
0,8746;0,9239;2
0,8838;0,9067;2
0,831;1,05;2
0,8228;0,8585;2
0,8655;0,9067;1
0,831;1,05;2
0,831;0,9067;1
0,8394;0,8585;2
0,831;1;1
0,8228;0,89;2
0,8394;1,021;1
0,8566;0.90.9067;2
0,8394;0,89;1
0,8394;1,05;2
0,831;0,874;1
0,8479;0,9239;2
0,8746;0,9419;3
0,8566;0,9067;2
0,8479;0,9239;1
0,9229;0,9067;2
0,8479;0,874;2
0,8566;1,05;1
0,8746;1,05;2
0,8838;0,9067;3
0,8566;0,9067;1
0,8566;0,9239;2
0,8933;0,9067;2
0,8566;1,05;2
0,8655;1,021;1
0,9128;0,9239;2
0,8746;0,874;1
0,9128;1,05;1
0,8655;0,9798;2
0,8838;1,05;3
0,9229;0,9419;1
0,8655;0,9419;2
0,8838;1,05;2
0,8479;0,9239;3
0,8566;0,9798;2
0,8566;0,9798;3
0,8746;1,05;2
0,8655;1,05;1
0,8655;0,9067;2
0,8655;1;1
0,8746;1,05;2
0,8838;1,0429;1
0,8838;1,05;1
0,8746;0,9798;2
0,8655;0,9067;1
0,8655;0,9239;2
0,9332;0,9419;2
0,8655;1,021;3
0,8566;0,9798;2
0,8746;1,0429;2
0,8933;0,89;1
0,8655;0,9239;2
0,8655;1,021;2
0,8746;0,9798;2
0,8479;1,0429;2
0,8746;1;1
0,8838;0,89;2
0,8655;0,89;2
0,9437;0,9239;1
0,8933;1,05;3
0,8746;0,9067;2
0,8838;0,874;2
0,8655;0,9239;2
0,8838;0,9419;2
0,8933;0,874;1
0,9437;0,8585;2
0,8838;0,9067;2
0,9229;0,9067;2
0,8838;0,89;2
0,8746;0,9067;1
0,8746;1,05;2
0,8746;1,021;2
0,8746;1,05;2
0,8479;0,9239;2
0,9229;0,9067;1
0,9437;0,9419;2
0,8838;1,021;2
0,8933;0,9239;2
0,9128;0,9239;1
