MQ 3;MQ 135;QCM
1;0,9239;1
0,9767;1,05;2
0,9767;1;1
1,0121;0,9067;0
0,9882;1,05;1
0,9767;1,05;1
0,9767;1,021;1
0,9882;0,8436;1
0,8069;0,776;1
0,6811;0,6877;2
0,6061;0,6506;0
0,4786;0,5871;2
0,4127;0,6018;2
0,3467;0,6094;1
0,335;0,547;1
0,3214;0,6686;1
0,3214;0,5871;1
0,3281;0,6506;2
0,3364;0,678;1
0,3452;0,6335;2
0,3437;0,6094;1
0,3467;0,6877;0
0,3592;0,6419;1
0,3576;0,6877;1
0,3674;0,6976;1
0,3796;0,6877;2
0,4024;0,6419;1
0,3985;0,6877;2
0,417;0,7292;1
0,4326;0,6686;1
0,4622;0,678;2
0,4814;0,6976;1
0,4843;0,776;1
0,5116;0,6686;1
0,5386;0,678;1
0,5386;0,8017;1
0,5568;0,7292;1
0,5973;0,7184;1
0,5764;0,6877;1
0,6198;0,7184;1
0,6106;0,7638;2
0,649;0,6877;1
0,639;0,7887;1
0,644;0,7638;1
0,6594;0,7887;0
0,6868;0,6976;2
0,6811;0,7887;2
0,6983;0,7292;2
0,7043;0,7292;3
0,6983;0,7638;1
0,6983;0,7638;2
0,729;0,7292;2
0,7488;0,7078;2
0,7768;0,6976;1
0,7421;0,8292;1
0,7696;0,6976;0
0,7488;0,8292;1
0,7488;0,8292;1
0,7696;0,7404;1
0,7556;0,8152;2
0,7625;0,874;1
0,7625;0,7404;1
0,7696;0,7519;1
0,7991;0,7404;1
0,7841;0,7519;2
0,7915;0,7292;2
0,7696;0,776;1
0,8148;0,7292;2
0,7991;0,8585;2
0,8069;0,7519;2
0,8069;0,7404;2
0,8069;0,9067;2
0,8228;0,776;2
0,831;0,776;2
0,8228;0,89;2
0,8479;0,7519;2
0,8228;0,7887;1
0,8228;0,8585;2
0,8746;0,7887;1
0,8394;0,776;1
0,8394;0,8436;0
0,8655;0,7887;2
0,8933;0,7887;1
0,8479;0,7638;2
0,8479;0,9067;2
0,9029;0.70.7519;1
0,8479;0,9067;1
0,8655;0,8017;2
0,8746;0,8017;1
0,8838;0,7638;1
0,8566;0,8585;1
0,8566;0,8292;1
0,8655;0,874;1
0,8655;0,9419;1
0,8655;0,7638;1
0,8655;0,8585;0
0,8655;0,9239;1
0,8655;0,9239;1
0,8838;0,8152;1
0,8655;0,9067;1
0,8933;0,8292;0
0,8933;0,776;1
0,8933;1;1
0,9029;0,8152;0
0,8933;0,9067;0
0,9029;0,7887;1
0,8746;0,89;2
0,8838;0,9419;2
0,9128;0,8292;2
0,8838;0,8292;1
0,8838;0,9605;1
0,8933;0,9419;1
0,9128;0,8436;1
0,9229;0,8292;1
0,8933;0,9067;0
0,8933;0,9239;0
0,8838;0,9067;1
0,8838;0,89;1
0,8933;0,8585;1
0,9029;1,0429;2
0,9029;0,8152;0
0,9654;0,8585;0
0,9128;1;1
0,9229;0,8585;0
0,9229;0,8292;1
0,8933;0,9067;1
0,9029;0,9067;0
0,9654;0,8152;1
0,9128;0,89;0
0,9128;0,9419;0
0,9654;0,874;0
0,9128;0,9798;0
0,9128;0,874;1
0,9229;0,8585;0
0,9128;0,8152;1
0,9128;0,9419;2
0,9128;1,0429;0
0,9128;1,021;1
0,9029;0,9067;1
0,9437;0,8436;0
0,9229;1;0
0,9332;0,874;1
0,9128;0,9798;0
0,9332;0,8436;1
0,9128;0,874;1
0,9654;0,8436;0
0,9128;0,9605;1
0,9229;0,8585;0
0,9544;1,05;0
0,9654;0,8585;1
0,9654;0,874;0
0,9544;0,89;0
0,9332;0,9798;0
0,9229;0,9067;1
0,9544;0,8436;0
0,9544;1;1
0,9332;1,021;0
0,9437;0,874;1
0,9437;0,9798;0
0,9437;1,021;1
0,9882;0,9067;0
0,9437;0,9419;1
0,9332;0,8436;0
0,9332;0,9605;1
0,9654;0,8585;0
0,9437;1,0429;0
0,9654;0,89;1
0,9437;0,9067;0
0,9332;1,021;0
0,9229;0,9419;1
0,9437;1,0429;1
0,9437;1,021;1
0,9437;0,9239;1
0,9437;0,9798;0
0,9332;1,0429;1
0,9332;1,05;1
0,9654;0,8436;1
0,9437;0,9798;0
0,9437;0,9067;1
0,9437;0,9798;0
