MQ 3;MQ 135;QCM
0,8655;1,05;0
0,8479;0,9605;1
0,8479;1,0429;0
0,8394;0,874;1
0,8838;0,9605;1
0,8655;0,9067;1
0,7355;0,874;1
0,5494;0,9419;2
0,3985;0,8585;1
0,3576;0,8292;1
0,3336;0,8585;1
0,3254;0,8017;2
0,3163;0,7638;1
0,3176;0,8585;1
0,3189;0,7078;0
0,335;0,89;0
0,3408;0,6976;1
0,3513;0,8585;0
0,3743;0,6976;1
0,3796;0,776;0
0,3926;0,8292;1
0,4149;0,7078;1
0,4445;0,7519;0
0,4703;0,7292;0
0,4843;0,7184;1
0,5084;0,8017;1
0,5214;0,7078;0
0,5457;0,8585;0
0,5531;0,776;1
0,5888;0,7638;1
0,5973;0,7638;0
0,5973;0,7184;1
0,6292;0,7292;1
0,6594;0,7638;1
0,639;0,89;0
0,6245;0,7519;1
0,649;0,7292;0
0,6594;0,8585;0
0,6701;0,9067;1
0,6756;0,874;2
0,7043;0,7887;2
0,7043;0,7887;1
0,6756;0,8017;1
0,6811;0,8152;0
0,7043;0,8152;0
0,7165;0,89;1
0,7165;0,8017;1
0,7165;0,89;2
0,7421;0,8436;1
0,7165;0,8017;1
0,729;0,8152;2
0,729;0,89;1
0,729;0,8436;1
0,7488;0,8585;0
0,7696;0,89;2
0,7556;1;2
0,7488;0,9239;2
0,7696;0,89;1
0,7556;0,8436;1
0,7768;1,05;2
0,7625;0,8292;1
0,7625;0,8152;1
0,7696;1,021;1
0,7696;0,9419;1
0,7768;0,9419;2
0,7696;0,8436;1
0,7768;0,9239;1
0,7841;0,9239;0
0,831;0,874;2
0,8148;0,874;2
0,8228;0,874;0
0,7915;1,0429;2
0,8228;0,89;1
0,7991;1,021;1
0,7915;0,9419;1
0,8394;0,9067;1
0,8148;0,89;1
0,8069;1;1
0,8069;0,9419;1
0,8148;0,8585;1
0,831;0,89;1
0,8479;0,9067;1
0,831;1,05;1
0,8566;0,9239;1
0,831;0,9605;1
0,8228;1,05;1
0,8228;1,0429;1
0,831;1;1
0,831;0,874;1
0,831;0,8436;1
0,8069;0,89;0
0,8838;0,9067;1
0,9128;0,9239;1
0,8394;1;1
0,831;0,874;1
0,8655;0,9067;1
0,8228;0,9239;2
0,831;0,9605;0
0,8655;0,9067;1
0,8655;0,9239;2
0,8655;0,9067;0
0,831;0,874;1
0,8394;0,9798;1
0,8394;1,05;0
0,8838;1,05;1
0,8655;1,05;1
0,8394;1,05;1
0,8566;1,05;1
0,8838;0,9239;0
0,8479;1,05;1
0,8479;0,874;1
0,8479;1,05;0
0,8479;1,0429;1
0,8479;1,05;1
0,8566;1,021;1
0,8566;0,874;1
0,8479;0,89;1
0,8746;1,05;1
0,8933;0,9419;1
0,8479;0,8585;2
0,8566;1;1
0,8746;1,05;1
0,8566;1,05;2
0,8933;0,9239;1
0,831;0,9239;1
0,8655;1,05;0
0,8566;0,874;2
0,831;0,9239;1
0,8655;0,89;2
0,9029;0,9419;2
0,9029;0,9419;1
0,9229;0,9419419;2
0,8479;0,874;2
0,9029;0,9067;1
0,8655;1,021;2
0,8655;0,9419;1
0,8838;1,021;1
0,8479;0,9067;1
0,9128;0,9419;1
0,8566;1;2
0,8746;1,05;1
0,8566;1,021;1
0,8655;1,05;1
0,8566;1,021;2
0,8394;0,9419;2
0,8479;1,021;2
0,9029;0,9419;1
0,8566;1,05;2
0,8479;1,0429;1
0,8566;0,89;1
0,8479;0,9798;2
0,831;0,9798;1
0,8394;0,9419;2
0,8394;0,8585;1
0,8394;1,05;1
0,8479;1,021;1
0,8479;1,021;1
0,8394;0,89;1
0,8394;0,874;2
0,8394;1;1
0,8655;1,05;1
0,8148;0,9605;2
0,831;1;2
0,8394;0,874;2
0,9128;0,9419;1
0,8394;0,874;2
0,8479;1,05;1
0,831;1,05;1
0,9128;0,9239;2
0,8566;0,9798;1
0,8479;0,874;1
0,9332;0,9419;2
0,8838;1,05;1
0,8655;1,05;1
0,8746;1,05;2
0,8655;1,05;1
0,8838;1,05;1
0,9229;0,9067;1
0,9029;0,9239;1
0,9128;0,9419;1
