MQ 3;MQ 135;QCM
1;1;1
0,9882;1,0896;2
0,9767;0,9798;1
0,9437;1,0429;2
1;0,9605;0
1;0,9798;1
1,0121;1,021;1
1;1,0896;0
0,9654;0,874;1
0,8933;0,9605;1
0,3641;0,9605;1
0,2203;0,9239;1
0,1894;0,874;0
0,1806;0,8436;0
0,171;0,9798;1
0,1703;0,9605;1
0,1672;0,8436;0
0,1672;0,874;2
0,1739;0,7184;1
0,1718;0,874;1
0,1714;0,7887;1
0,1755;0,7887;1
0,1789;0,874;1
0,1856;0,7184;1
0,1865;0,8017;1
0,1898;0,776;1
0,201;0,8152;1
0,2094;0,8017;0
0,2209;0,776;0
0,2255;0,8152;0
0,2366;0,8017;1
0,2434;0,8017;1
0,2554;0,9239;1
0,2677;0,8292;1
0,2724;0,8436;0
0,2874;0,8436;0
0,3101;0,8292;0
0,3214;0,9605;0
0,335;0,776;0
0,3408;0,8436;0
0,3528;0,9239;1
0,3641;0,8585;1
0,3743;0,8436;1
0,3851;0,8585;1
0,387;0,89;1
0,4024;0,9605;1
0,4086;0,874;0
0,4149;1,0429;0
0,4214;0,8152;0
0,4281;0,8585;1
0,4421;0,9798;1
0,4494;0,9419;1
0,452;0,9419;0
0,4545;0,8017;0
0,4676;0,89;0
0,4676;0,9067;1
0,4786;0,874;1
0,4872;0,9798;1
0,4758;0,8292;0
0,5022;0,9798;0
0,5053;0,9067;1
0,5181;0,9605;2
0,5148;0,9798;1
0,5181;0,874;1
0,5281;0,9605;1
0,5386;1,0657;1
0,5386;0,89;1
0,5386;0,9239;1
0,5421;0,8292;0
0,5568;0,9605;1
0,5568;1,021;0
0,5645;1,0657;1
0,5724;0,9067;1
0,5494;0,9067;1
0,5805;0,9239;1
0,5846;0,9067;2
0,593;1,0896;1
0,5888;0,9239;0
0,5805;0,8436;0
0,6061;0,9605;0
0,6106;0,9239;0
0,6152;0,9798;0
0,6245;1,0657;0
0,6061;0,89;1
0,6292;0,9067;1
0,6341;0,9605;1
0,639;0,9798;0
0,639;0,9239;1
0,6292;0,874;1
0,644;0,9419;1
0,644;0,9419;1
0,6542;0,9798;1
0,6594;0,9419;1
0,644;0,89;1
0,6594;0,9419;1
0,6701;0,9605;1
0,6868;1,0429;0
0,6756;0,9419;0
0,6594;0,8292;0
0,6756;0,9239;0
0,6868;0,9419;0
0,6868;0,9239;1
0,6925;1,0896;1
0,6756;0,9067;1
0,6701;1,0429;1
0,6983;0,9239;1
0,7043;0,9605;0
0,7165;0,9419;0
0,6868;0,8436;1
0,7103;0,9605;1
0,7043;0,9419;0
0,7103;1,0657;0
0,7165;0,9798;1
0,6868;0,8585;1
0,729;1,021;0
0,729;0,9239;0
0,7355;1,021;1
0,729;0,9419;1
0,7165;0,874;1
0,7421;0,9239;0
0,729;0,9419;0
0,7556;1,0429;0
0,7488;1,021;1
0,7488;1,0429;1
0,7488;0,9239;1
0,7488;1,0896;0
0,7625;0,9419;0
0,729;0,9605;0
0,7488;1,0429;1
0,7696;0,9605;1
0,7768;1,1407;1
0,7625;0,9798;1
0,7556;0,9605;0
0,7625;0,9419;1
0,7915;0,9419;0
0,7841;1,0429;1
0,7841;0,9798;0
0,7841;0,9605;1
0,7991;1,0429;0
0,7841;0,9419;1
0,7556;1,021;0
0,8069;1,0429;1
0,7841;0,9605;1
0,7915;1;1
0,8069;0,9798;1
0,7915;0,9798;1
0,7991;0,9605;0
0,831;1,0896;0
0,7991;0,9419;1
0,8069;1,0657;1
0,8069;1,021;1
0,8148;0,9605;1
0,8069;1,0429;0
0,8148;0,9419;0
0,8069;0,9605;0
0,8228;1,0429;1
0,8069;0,9605;0
0,8148;0,9605;1
0,831;1,0896;0
0,8228;1,0429;1
0,831;0,9419;1
0,8479;0,9419;0
0,831;1,0896;1
0,8479;1,0896;1
0,8394;0,9605;1
0,8394;1,1145;1
0,8394;0,9605;1
0,831;1,0657;0
0,8566;0,9419;0
0,8479;1,1145;1
0,8479;1,0657;1
0,8394;0,9419;1
0,8479;1,0657;1
0,8566;0,9798;0
0,8479;0,9419;0
0,8479;0,9239;0
0,8746;1,021;1
0,8479;0,9605;1
0,8566;1,0896;1
0,8655;0,9605;1
