MQ 3;MQ 135;QCM
0,9882;1,021;1
0,9882;1,0657;2
0,9882;1,0657;1
0,9229;1;2
0,9882;1,0429;0
0,9654;0,9798;1
1;1;1
1;1,0657;0
0,9654;1,0429;1
0,5116;1,0896;1
0,2995;1,0429;1
0,2381;1;1
0,2209;1;0
0,2088;0,874;0
0,2032;0,9419;1
0,2026;0,8436;1
0,2005;0,8292;0
0,1968;0,8292;2
0,1938;0,8436;1
0,2005;0,8152;1
0,2032;0,8152;1
0,2077;0,874;1
0,2037;0,89;1
0,2016;0,8017;1
0,201;0,8152;1
0,2016;0,8017;1
0,201;0,8152;1
0,2048;0,8152;0
0,2054;0,8436;0
0,2117;0,8292;0
0,2105;0,7887;1
0,2105;0,8017;1
0,2153;0,874;1
0,2222;0,8585;1
0,2309;0,7887;0
0,2374;0,8152;0
0,2465;0,8152;0
0,2505;0,7887;0
0,2597;0,89;0
0,2705;0,8152;0
0,2782;0,9067;1
0,2917;0,874;1
0,2984;0,8292;1
0,3065;0,8436;1
0,315;0,8436;1
0,3254;0,8436;1
0,3322;0,9605;0
0,3482;0,9067;0
0,3592;0,874;0
0,3674;0,9798;1
0,3778;0,8436;1
0,3851;0,9419;1
0,387;0,874;0
0,3965;0,89;0
0,4045;0,9067;0
0,4106;0,9239;1
0,4149;0,9239;1
0,4281;0,89;1
0,4214;0,9798;0
0,4397;0,9067;0
0,4494;0,874;1
0,4545;0,9798;2
0,457;0,9239;1
0,4676;0,9239;1
0,4786;0,9605;1
0,4814;0,9798;1
0,4901;0,9239;1
0,4931;0,874;1
0,5022;0,874;0
0,5116;0,9239;1
0,5148;1,021;0
0,5084;0,9798;1
0,5316;1;1
0,535;0,9239;1
0,5421;0,9067;1
0,5531;0,9605;2
0,5531;0,9798;1
0,5568;0,9419;0
0,5764;0,9419;0
0,5764;0,9605;0
0,5764;0,9067;0
0,5645;1,021;0
0,5846;0,9067;0
0,5973;0,9605;1
0,593;1;1
0,6061;0,9605;1
0,6152;1;0
0,6152;0,9419;1
0,6152;0,9605;1
0,6198;1,021;1
0,6245;0,9239;1
0,92;0,9605;1
0,6292;0,9605;1
0,639;1,0429;1
0,644;1,0429;1
0,649;0,9419;1
0,649;1,021;0
0,6647;0,9798;0
0,649;0,9419;0
0,6542;1,021;0
0,6701;1,021;0
0,6701;1,021;1
0,6811;0,9605;1
0,6811;0,9605;1
0,6868;0,9419;1
0,6756;0,9239;1
0,6925;0,9605;0
0,6983;0,9239;0
0,6983;0,9419;1
0,6925;0,9239;1
0,7043;1,021;0
0,7043;0,9067;0
0,6983;0,9239;1
0,7227;0,9798;1
0,729;1;0
0,6925;1,021;0
0,7227;0,9239;1
0,7227;1,021;1
0,7103;0,9605;1
0,729;0,9239;0
0,7355;0,9798;0
0,7355;1,021;0
0,7488;0,9605;1
0,7421;0,9605;1
0,7355;0,9605;1
0,7488;1,0429;0
0,7488;1,0657;0
0,7556;1,021;0
0,7488;0,9798;1
0,7488;0,9605;1
0,7556;1,0429;1
0,7556;0,9798;1
0,7556;1;0
0,7556;1,0657;1
0,7696;0,9419;0
0,7768;0,9605;1
0,7625;0,9239;0
0,7768;0,9419;1
0,7355;0,9419;0
0,7841;0,9419;1
0,7841;0,9239;0
0,7768;0,9798;1
0,7915;0,9798;1
0,7915;1;1
0,7915;0,9067;1
0,7991;0,9605;1
0,7915;0,9239;0
0,7841;0,9605;0
0,7841;0,9605;1
0,7991;0,9419;1
0,8148;1;1
0,7991;1,021;1
0,7991;0,9239;0
0,8148;1,021;0
0,8069;1,0429;0
0,7991;0,9605;1
0,7227;0,7404;0
0,8069;1,021;1
0,8148;0,9605;0
0,8148;0,9605;1
0,8228;0,9419;1
0,7355;0,8017;0
0,8148;0,9419;1
0,8228;0,9419;1
0,831;0,9419;1
0,8394;0,9605;1
0,7625;0,7638;1
0,831;0,9798;0
0,8394;1,0429;0
0,831;0,9798;1
0,8394;1,021;1
0,7696;0,7638;1
0,8394;0,9419;1
0,831;0,9605;0
0,8394;0,9798;0
0,8566;0,9798;0
0,7915;0,8436;1
0,8394;1;1
0,8479;0,9605;1
0,8394;0,9798;1
