MQ 3;MQ 135;QCM
1,05;0,8017;1
1,05;0,8585;0
1,05;1,021;-1
1,05;0,874;0
1,05;0,9067;0
1,0244;0,9067;-1
1,05;0,874;0
1,05;0,89;-1
1,05;1,021;-1
1,05;1,05;0
1;0,874;0
1,05;0,776;-1
1,05;0,6976;0
1,0371;0,6506;0
1,05;0,6506;0
1;0,6018;0
1,05;0,6595;0
1,05;0,6018;-1
1,05;0,6335;-1
1,05;0,6335;0
1;0,5731;-1
1,05;0,6419;0
1,05;0,6877;-1
1,0244;0,678;0
1,05;0,8017;-1
1;0,6976;0
1,05;0,7184;-1
1,0371;0,7292;-1
1,05;0,7292;0
1,05;0,776;-1
1,0371;0,7184;0
1,05;0,9239;-1
1,05;0,8017;0
1,05;0,9239;0
1,05;0,9239;0
1,0371;0,89;-1
1,05;0,8292;0
1,05;0,8292;-1
1,05;0,8292;0
1,05;0,9067;0
1,05;0,7404;-1
1,05;0,9067;0
1,05;0,9798;-1
1,05;0,8436;0
1,05;0,8292;0
1,0121;0,7404;-1
1,05;1,021;0
1,05;0,8292;-1
1,0371;0,8436;-1
1,0371;0,89;0
1,0121;0,7292;-1
1,05;0,8436;0
1,05;0,8436;0
1,05;0,874;-1
1,05;0,874;0
1,0371;0,9239;0
1,05;0,9798;-1
1,05;0,8292;-1
1,05;0,874;0
1,05;1,0429;0
1,0244;0,7638;-1
1,05;0,9605;0
1,05;0,89;-1
1,05;0,8585;-1
1,05;0,89;0
1,0371;0,9419;-1
1,05;1,0429;-1
1,05;1,021;-1
1,05;0,874;-1
1,05;0,9798;0
1,0121;0,9239;-1
1,05;0,874;-2
1,05;0,8585;-1
1,05;1,05;-1
1,05;0,9239;-1
1,0371;0,8436;0
1,05;0,9067;-1
1,05;0,9067;-1
1,05;0,9798;-1
1,05;0,89;0
1,05;0,776;0
1,05;0,8585;0
1,05;0,9067;-1
1,05;0,8436;-1
1,05;0,9605;0
1;0,8017;-1
1,05;0,9067;0
1,05;1,05;0
1,05;0,89;-1
1,05;0,874;0
1;0,8436;0
1,05;0,874;-1
1,05;0,89;-1
1,05;1,021;0
1,05;0,9605;-1
1,0121;0,8292;-2
1,05;0,89;0
1,05;0,9798;-1
1,05;1,05;-1
1,05;0,9798;0
1,05;0,776;0
1,05;0,9067;-1
1,05;0,874;0
1,05;1;-1
1,05;1,05;0
1,0244;0,776;-1
1,05;1,05;1
1,05;1,05;-1
1,05;0,89;0
1,05;0,9067;-1
1,0244;0,7638;-1
1,05;0,89;-1
1,05;0,9798;0
1,05;0,8585;-1
1,05;0,9239;0
1,0244;0,776;-1
1,05;1;0
1,05;0,8585;0
1,05;0,9239;0
1,05;0,89;0
1,05;0,8152;0
1,05;0,89;-1
1,05;1,021;-1
1,05;0,9067;-1
1,05;0,874;0
1,0121;0,9067;-1
1,05;0,874;0
1,05;0,9067;-1
1,05;1,05;0
1,05;0,9239;-1
1,05;0,8292;0
1,05;0,874;-1
1,05;1,05;0
1,05;1,05;0
1,05;1,05;0
1,0244;0,7887;0
1,05;0,89;0
1,05;0,89;-1
1,05;1,05;-1
1,05;1,021;0
1,0244;0,9239;0
1,05;0,9239;-1
1,05;0,874;0
1,05;0,9239;0
1,05;0,9067;-1
1,0244;0,8017;1
1,05;0,89;-1
1,05;0,9067;0
1,05;0,9067;0
1,05;0,89;-1
1,05;0,8292;0
1,05;0,9239;0
1,05;1;1
1,05;0,874;0
1,05;0,89;0
1,0244;0,8152;0
1,05;0,9239;0
1,05;1,05;-1
1,05;0,9798;0
1,05;1,05;-1
1,05;0,8017;0
1,05;0,874;0
1,05;1,05;-1
1,05;0,9605;0
1,05;0,9419;0
1,0121;0,7887;0
1,05;0,9067;-1
1,05;1,05;0
1,05;1,05;1
1,05;0,874;0
1,0121;0,8292;0
1,05;0,89;-1
1,05;1,05;0
1,05;0,9419;0
1,05;1,05;0
1,05;0,7887;0
1,05;0,9067;0
1,05;0,874;0
1,05;0,9239;1
1,05;0,9605;0
