MQ 3;MQ 135;QCM
1,0371;0,9239;1
0,9332;0,9067;1
1,0121;0,9239;1
1,0244;0,8152;1
0,9882;0,8017;0
1,0244;0,7519;2
0,8746;0,8017;2
0,5053;0,776;1
0,3513;0,6419;3
0,2864;0,7184;2
0,2614;0,6253;3
0,2481;0,6976;3
0,2441;0,6595;3
0,2403;0,6094;4
0,2449;0,6419;3
0,2473;0,6094;4
0,2614;0,6506;2
0,2481;0,6419;3
0,2554;0,7184;2
0,2597;0,6686;3
0,2659;0,8436;1
0,2792;0,7078;2
0,2823;0,7404;2
0,2896;0,7519;2
0,303;0,9067;0
0,315;0,9239;0
0,3308;0,776;2
0,3467;0,8292;3
0,3624;0,7638;2
0,3851;0,8585;3
0,4086;0,7638;2
0,4149;0,8017;2
0,4303;0,7519;3
0,447;0,9239;2
0,4622;0,8152;3
0,4786;0,9419;0
0,4786;0,874;0
0,5148;0,8152;1
0,5053;0,7887;3
0,5247;0,7887;3
0,5421;0,8152;1
0,5457;0,8152;0
0,5568;1;0
0,5531;0,8585;1
0,5724;0,9067;3
0,5888;0,874;1
0,5684;0,8292;1
0,6017;1,021;1
0,6061;0,9798;0
0,6292;1;0
0,6292;0,89;0
0,6152;0,8292;1
0,6701;0,874;2
0,6198;0,9067;1
0,649;0,9239;2
0,6542;0,8436;1
0,644;1;2
0,6701;0,9605;3
0,6647;0,8152;2
0,6811;0,874;1
0,6811;0,9067;3
0,6542;0,8436;2
0,6811;0,9605;0
0,6756;0,874;3
0,7355;0,874;3
0,7103;0,8585;3
0,6756;0,8292;3
0,7488;0,9605;2
0,7355;0,9239;2
0,7043;0,9605;2
0,7355;0,89;1
0,6925;1,021;0
0,7488;0,9605;1
0,729;0,8017;1
0,7421;0,9798;1
0,7556;0,9798;1
0,7165;0,9067;1
0,7991;0,89;1
0,7556;0,89;1
0,7556;0,8585;0
0,7625;0,9419;1
0,7165;0,9798;0
0,7991;1,021;0
0,7768;0,874;2
0,7768;0,8152;3
0,7841;1,021;2
0,7696;0,9419;1
0,7768;0,8585;1
0,8069;0,8436;1
0,7696;0,89;1
0,7841;0,874;0
0,7556;0,8436;0
0,8228;0,874;0
0,8228;0,9605;1
0,8069;0,9239;2
0,831;0,89;3
0,7696;0,9067;1
0,8148;1,05;0
0,8479;0,9605;3
0,8148;0,9419;2
