MQ 3;MQ 135;QCM
0,831;0,8436;2
0,8394;1;0
0,7915;0,7887;2
0,7991;0,874;3
0,473;0,874;3
0,295;1;0
0,2554;0,7887;3
0,2465;0,7078;3
0,2489;0,8436;2
0,2696;0,776;3
0,2874;0,7292;3
0,3138;0,7519;3
0,3467;0,7078;3
0,3833;0,776;3
0,4065;0,7887;3
0,4281;0,7184;3
0,457;0,7519;3
0,473;0,6976;5
0,4931;0,7404;4
0,5116;0,874;3
0,5386;0,7404;3
0,5531;0,7184;3
0,5494;0,8152;2
0,5805;0,7184;3
0,5846;0,8436;2
0,6245;0,7404;2
0,6017;0,8436;2
0,6017;0,6976;4
0,6245;0,9067;1
0,639;0,7519;3
0,6701;0,8152;2
0,649;0,7404;3
0,649;0,6976;4
0,6594;0,9419;2
0,6647;0,8436;2
0,6701;0,9605;2
0,6868;0,8017;2
0,6756;0,7519;2
0,6868;0,8017;2
0,6756;0,9067;1
0,7043;0,8292;1
0,6983;0,7887;2
0,6868;0,7292;2
0,7103;0,8436;2
0,7103;0,9067;1
0,7355;0,8292;2
0,7227;0,8436;2
0,6925;0,8585;2
0,7421;0,8585;2
0,729;0,8292;2
0,7421;0,8585;2
0,7421;0,8436;2
0,7355;0,7404;3
0,7556;0,8292;2
0,7421;0,9239;1
0,7841;0,8436;2
0,7556;0,8585;2
0,7625;0,7519;3
0,7696;0,874;2
0,7696;0,874;2
0,7696;0,874;2
0,7696;1,021;0
0,7625;0,7887;3
0,8069;0,8436;2
0,8069;0,8152;2
0,8148;0,9239;1
0,7841;1;0
0,7841;0,8436;2
0,7841;0,874;2
0,8148;0,874;2
0,8228;0,8585;2
0,7841;0,8585;2
0,831;0,874;2
0,8069;0,874;2
0,8228;0,8585;2
0,8228;0,874;0
0,8069;1,05;0
0,7991;0,8436;2
0,8479;0,8585;3
0,8148;1,05;0
0,8228;0,8585;2
0,8479;0,9419;3
0,7841;0,8292;2
0,8228;1,0429;1
0,831;0,874;1
0,8228;1,0429;2
0,8148;1,05;3
0,7991;0,9798;2
0,8479;0,8585;2
0,8479;0,874;2
0,8228;1;0
0,8746;0,8436;3
0,8069;0,9605;3
0,8228;0,9798;2
0,8394;0,9605;2
0,8566;0,89;2
0,8479;1,05;0
0,7915;0,9067;1
0,8394;0,9419;1
0,8394;1,05;0
