MQ 3;MQ 135;QCM
1,0501;0,9419;1
1,0244;0,9419;2
1;0,9419;2
1,0634;0,7519;3
1,0371;0,7184;3
0,6244;0,6094;4
0,6229;0,6877;4
0,5022;0,6018;4
0,3201;0,6506;4
0,2597;0,5944;5
0,2302;0,5731;5
0,2135;0,6877;3
0,2026;0,6094;3
0,201;0,678;3
0,1973;0,7404;2
0,2;0,6877;3
0,2021;0,7404;2
0,2043;0,7184;2
0,2094;0,7184;2
0,2117;0,7404;2
0,2159;0,7519;3
0,2242;0,7519;3
0,2323;0,7519;3
0,2441;0,8292;1
0,258;0,776;2
0,2668;0,7292;2
0,2753;0,8017;3
0,2917;0,8017;3
0,3053;0,8436;3
0,3228;0,8292;3
0,3364;0,9605;1
0,3576;0,776;2
0,3674;0,8585;1
0,3833;0,9605;1
0,3851;0,9239;1
0,4127;0,8152;2
0,4258;0,8152;1
0,435;1,021;0
0,457;0,8292;2
0,457;0,9419;2
0,4703;0,874;2
0,4872;0,9067;0
0,4872;1,05;1
0,4931;0,7887;0
0,5116;0,8017;2
0,5181;0,8017;3
0,5116;0,8292;1
0,5386;0,8292;2
0,5421;0,8585;2
0,5568;0,8585;2
0,5645;0,8292;2
0,5457;0,8436;2
0,5724;0,9239;1
0,5805;1,05;1
0,593;0,8152;2
0,593;0,9419;0
0,6198;0,874;3
0,6061;0,8436;4
0,5888;0,8152;2
0,6106;0,9239;2
0,6106;0,874;2
0,6292;0,8436;2
0,6341;0,874;2
0,644;0,8152;2
0,644;0,8585;2
0,6701;0,8585;2
0,649;1,05;0
0,6542;0,9419;1
0,649;0,874;1
0,6647;0,874;1
0,649;0,874;1
0,6701;0,8436;2
0,6756;1,0429;3
0,7103;0,8436;1
0,6811;0,8152;2
0,6925;0,874;3
0,7103;0,874;2
0,7103;0,8585;1
0,6983;0,89;2
0,7227;1,021;2
0,7103;0,9239;3
0,6868;1,021;0
0,7227;0,874;0
0,729;0,8585;3
0,7556;0,8436;3
0,729;1,021;2
0,729;0,89;3
0,7488;0,8585;2
0,7421;0,9798;1
0,7556;0,8152;1
0,7421;1,0429;3
0,7625;0,9419;2
0,729;0,9419;3
0,7421;1,021;0
0,7696;0,9605;0
0,7625;0,8436;2
0,7991;1,0429;0
0,7625;1,0429;0
0,7625;0,9419;0
0,7768;0,9239;1
