MQ 3;MQ 135;QCM
0,9437;0,9239;1
0,9332;0,8436;1
0,9767;0,9067;1
0,8566;0,8017;1
0,6811;0,89;0
0,4758;0,8292;2
0,3726;0,9067;2
0,3364;0,776;1
0,3336;0,6976;3
0,3101;0,7292;2
0,3176;0,7292;3
0,3176;0,7404;3
0,3138;0,8292;3
0,3101;0,6877;4
0,3065;0,7078;3
0,315;0,7184;4
0,3281;0,8436;2
0,3576;0,7519;3
0,3674;0,8436;2
0,387;0,89;3
0,417;0,7638;1
0,4494;0,776;2
0,4622;0,8152;2
0,4843;0,7404;2
0,5116;0,7887;0
0,5316;0,7887;0
0,5386;0,8152;2
0,5724;0,8436;3
0,5606;0,7519;2
0,593;0,7887;3
0,6061;0,8152;2
0,6152;0,8152;2
0,639;0,8017;3
0,6152;0,7519;2
0,644;0,874;3
0,6542;0,874;0
0,6647;0,8292;0
0,6756;0,89;1
0,6542;0,776;3
0,6811;1;0
0,6868;1,05;0
0,7165;0,874;0
0,6983;0,8436;0
0,6868;0,9605;1
0,7556;0,8585;3
0,7103;0,9798;1
0,7227;0,874;1
0,7227;1;1
0,7165;0,7887;0
0,7355;0,874;0
0,7841;0,9605;0
0,7488;0,8152;1
0,7768;0,9605;2
0,7227;0,7887;1
0,7556;0,9067;2
0,7556;1,05;0
0,7841;0,9419;2
0,7991;0,8436;3
0,7421;0,7887;2
0,7696;1,021;0
0,7768;0,9605;3
0,8069;0,9239;2
0,7915;0,89;0
0,7556;0,7887;3
0,7841;0,89;3
0,7991;0,9067;3
0,7841;0,874;3
0,8069;0,8585;2
0,7915;0,8292;2
0,7841;1,0429;2
0,8148;0,874;1
0,8069;0,89;0
0,8069;0,9798;1
0,7841;0,8152;1
0,8655;0,9605;1
0,8148;0,874;1
0,8228;1;1
0,8479;0,89;1
0,831;0,8585;1
0,8228;0,89;0
0,831;1;1
0,8655;0,8436;0
0,831;0,89;0
0,7915;0,8017;2
0,8479;0,874;3
0,8394;1,05;0
0,8479;0,9067;1
0,831;1,05;0
0,8148;0,8017;1
0,8479;1,0429;1
0,8746;0,9239;0
0,8746;0,8585;0
0,8479;1,05;0
0,8228;0,8292;1
0,8566;0,9605;2
0,9029;0,9419;3
0,8746;0,874;1
0,8566;0,9067;0
0,8394;0,7887;3
0,8655;1,05;0
