MQ 3;MQ 135;QCM
1,077;0,9067;1
1,1053;0,8585;2
0,9767;0,89;2
0,6292;0,7292;3
0,4961;0,5408;4
0,3907;0,5348;4
0,3528;0,4909;6
0,3281;0,5175;5
0,315;0,5597;5
0,3018;0,5533;5
0,303;0,5597;5
0,2972;0,5731;5
0,2939;0,58;5
0,303;0,6253;5
0,303;0,6686;5
0,3214;0,6094;4
0,3308;0,6877;6
0,3408;0,6172;6
0,3641;0,6094;5
0,3726;0,6419;5
0,4065;0,6018;4
0,4192;0,6172;4
0,4445;0,6253;4
0,473;0,6335;4
0,473;0,776;3
0,5084;0,7404;3
0,535;0,6686;4
0,5386;0,6595;4
0,5531;0,7078;4
0,5805;0,7519;3
0,5805;0,7184;3
0,593;0,7292;3
0,5973;0,7404;3
0,649;0,7404;2
0,6292;0,7184;3
0,644;0,7519;3
0,6594;0,776;3
0,644;0,7519;0
0,6756;0,776;2
0,6868;0,7638;3
0,644;0,874;2
0,6925;0,874;2
0,6701;0,8436;1
0,7421;0,9605;1
0,7043;0,9067;1
0,7043;0,8017;2
0,7165;0,9239;1
0,729;0,874;1
0,7227;0,8017;1
0,729;0,9605;2
0,729;0,9419;1
0,7421;0,8017;1
0,7421;0,8014;2
0,7488;0,8017;2
0,7556;1;0
0,7625;0,9605;1
0,7696;0,776;3
0,7991;0,9239;1
0,8069;0,9419;1
0,7991;0,8292;1
0,7915;0,8292;1
0,8228;0,9239;1
0,8069;0,8436;3
0,8228;0,8152;2
0,7915;0,89;2
0,8394;0,8436;1
0,7841;0,89;2
0,8746;0,89;2
0,8069;0,8436;2
0,8069;0,7887;3
0,8394;0,9798;2
0,8479;0,7887;3
0,831;0,89;2
0,8228;0,9605;3
0,831;0,8017;2
0,8228;0,8436;3
0,831;0,9798;3
0,8394;0,9605;3
0,8394;0,8436;2
0,8394;0,8585;2
0,8394;0,8292;2
0,8479;0,8436;4
0,8394;1;4
0,8479;0,8017;4
0,8479;0,8292;3
0,8479;0,9605;3
0,8655;0,9239;0
0,8479;0,9067;0
0,8655;1,021;0
0,8655;0,9239;0
0,8655;0,8436;0
0,8746;1,05;1
0,8746;0,9605;1
0,8933;0,9067;1
0,8838;0,8017;2
0,8838;1,0429;0
0,8746;0,8436;2
0,8746;0,8585;2
0,8838;1,05;1
0,8746;0,9239;1
0,8746;;
