MQ 3;MQ 135;QCM
0,9544;0,9677;1
1;0,9345;1
1,0244;1,05;0
1,0121;0,8474;2
0,7696;0,7605;1
0,5116;0,7078;3
0,3497;0,6976;5
0,2782;0,7078;3
0,2465;0,5871;7
0,2289;0,6686;6
0,2197;0,5408;7
0,2209;0,5384;7
0,2222;0,6018;5
0,2248;0,5458;7
0,2248;0,6018;6
0,2255;0,5944;7
0,2302;0,5871;7
0,2366;0,5871;7
0,2449;0,6335;7
0,2513;0,6178;6
0,258;0,6094;6
0,2802;0,6877;6
0,2939;0,7292;4
0,3101;0,6877;5
0,3281;0,8152;4
0,3497;0,6335;5
0,3658;0,7184;3
0,3851;0,7404;3
0,4024;0,7078;3
0,417;0,8585;2
0,4258;0,6686;4
0,452;0,9239;1
0,4649;0,7638;3
0,4786;0,9067;0
0,4931;0,7519;3
0,4991;0,7292;3
0,5022;0,8744;2
0,5181;0,7376;3
0,5084;0,8017;2
0,535;0,8152;3
0,5494;0,7292;2
0,5645;0,9067;0
0,5684;1,0429;0
0,5846;0,9419;0
0,5805;0,9798;0
0,5846;0,8436;1
0,5973;0,8017;1
0,6017;1;0
0,6152;0,8436;1
0,6152;0,8152;1
0,6198;0,8017;2
0,6341;0,9605;2
0,6245;0,8436;1
0,644;0,9419;2
0,649;0,8585;3
0,649;0,7887;2
0,6292;0,8017;2
0,649;0,8436;3
0,6701;0,9798;3
0,6925;0,8436;3
0,6756;0,89;2
0,7103;0,8152;1
0,6756;0,9605;2
0,6925;0,8585;1
0,6868;0,9798;3
0,7165;0,9239;2
0,6983;0,8292;2
0,7103;1,05;0
0,7103;1,021;1
0,6983;0,874;2
0,7227;0,89;1
0,7355;0,8436;3
0,7227;0,8585;2
0,7625;0,9419;0
0,7355;0,8436;0
0,7421;0,8436;0
0,7488;0,9239;0
0,7488;1,05;0
0,7625;0,8152;2
0,7488;0,8585;2
0,7768;0,7638;1
0,7625;0,8436;2
0,7421;0,89;3
0,7625;1,05;0
0,7696;0,8152;1
0,7768;0,8585;2
0,7768;0,874;3
0,7841;1,021;2
0,7841;1,05;0
0,8228;0,9419;2
0,7915;0,9067;3
0,7841;0,8585;1
0,7841;0,9419;2
0,8069;0,89;3
0,7991;0,89;2
0,8228;0,776;3
0,831;0,8585;2
0,8069;0,9798;1
0,8228;1,0429;0
0,8148;0,8585;2
