MQ 3;MQ 135;QCM
0,9544;1,05;1
1;0,89;1
1,0234;0,8152;2
1,0131;1,021;0
0,7696;0,7436;1
0,5116;0,6605;1
0,3497;0,7605;2
0,2782;0,6877;5
0,2465;0,6292;2
0,2289;0,6419;5
0,2197;0,6253;5
0,2209;0,5686;6
0,2222;0,5533;7
0,2248;0,5871;6
0,2248;0,6094;6
0,2255;0,6335;6
0,2302;0,6094;5
0,2366;0,6094;5
0,2449;0,6506;5
0,2513;0,7184;3
0,258;0,6335;5
0,2802;0,6506;4
0,2939;0,6877;5
0,3101;0,8017;3
0,3281;0,7078;3
0,3497;0,7184;3
0,3658;0,7078;3
0,3851;0,6595;4
0,4024;0,7404;3
0,417;0,7638;3
0,4258;0,7519;3
0,452;0,7292;3
0,4649;0,7184;3
0,4786;0,9067;1
0,4931;0,8017;2
0,4991;0,8017;2
0,5022;0,8679;2
0,5181;0,7292;3
0,5084;0,8152;2
0,535;0,9067;1
0,5494;0,7638;3
0,5645;0,8152;2
0,5684;0,7404;3
0,5846;0,8152;2
0,5805;0,9239;1
0,5846;0,9798;0
0,5973;0,8436;0
0,6017;0,7184;3
0,6152;0,8152;2
0,6152;0,8585;2
0,6198;0,8436;2
0,6341;0,789;3
0,6245;0,7887;3
0,644;0,9067;1
0,649;0,8585;2
0,649;0,9605;1
0,6292;0,8017;2
0,649;0,7404;3
0,6701;0,8152;2
0,6925;1;0
0,6756;0,874;2
0,7103;0,9798;1
0,6756;0,7404;3
0,6925;0,8585;2
0,6868;0,8292;2
0,7165;0,8585;2
0,6983;0,874;2
0,7103;0,874;2
0,7103;0,9239;1
0,6983;0,9419;1
0,7227;1,0429;1
0,7355;0,874;1
0,7227;0,7638;2
0,7625;0,8585;2
0,7355;0,8585;2
0,7421;0,9798;1
0,7488;0,9419;1
0,7488;0,9239;1
0,7625;0,9419;1
0,7488;0,8585;2
0,7768;0,89;2
0,7625;0,8436;2
0,7421;0,874;2
0,7625;0,874;2
0,7696;0,89;2
0,7768;0,9798;1
0,7768;0,9239;1
0,7841;0,9605;1
0,7841;0,8585;1
0,8228;1,0429;0
0,7915;1,05;0
0,7841;0,9419;1
0,7841;0,8017;2
0,8069;0,874;2
0,7991;0,874;2
0,8228;0,8292;2
0,9332;0,8905;1
0,9544;0,8436;2
0,9437;0,9021;1
0,9332;0,8436;2
