MQ 3;MQ 135;QCM
1,0501;1,05;1
1,0244;0,89;1
1;0,8152;2
1,0634;1,021;0
1,0371;0,8436;1
1,0244;0,9605;1
0,9229;0.7184;5
0,5022;0.5289;6
0,3201;0.5731;5
0,2597;0.5663;5
0,2302;0.5012;4
0,2135;0.5065;4
0,2026;0.5175;4
0,201;0.5119;4
0,1973;0.5731;3
0,2;0.5231;5
0,2021;0.496;5
0,2043;0.496;4
0,2094;0.547;6
0,2117;0.5231;5
0,2159;0.5175;5
0,2242;0.5408;6
0,2323;0.5231;4
0,2441;0.547;5
0,258;0.6335;5
0,2668;0.6686;4
0,2753;0.6172;5
0,2917;0.5944;4
0,3053;0.6335;5
0,3228;0.6976;5
0,3364;0.6595;4
0,3576;0.678;4
0,3674;0.6335;5
0,3833;0.6976;3
0,3851;0.678;3
0,4127;0.7184;4
0,4258;0.7292;5
0,435;0.6686;4
0,457;0.7184;4
0,457;0.8585;4
0,4703;0.776;4
0,4872;0.7184;4
0,4872;0.7078;4
0,4931;0.89;4
0,5116;0.9239;5
0,5181;0.7404;4
0,5116;0.7887;4
0,5386;0.7184;4
0,5421;0.9605;4
0,5568;0.8152;3
0,5645;0.7519;4
0,5457;0.89;3
0,5724;0.776;3
0,5805;0.7887;4
0,593;0.8017;3
0,593;0.9239;3
0,6198;0.8585;4
0,6061;0.89;4
0,5888;0.874;4
0,6106;0.7887;3
0,6106;0.874;4
0,6292;0.8292;3
0,6341;0.776;2
0,644;0.9419;4
0,644;1.021;3
0,6701;0.8292;3
0,649;0.8292;3
0,6542;0.8017;4
0,649;0.9798;4
0,6647;0.7887;4
0,649;0.8436;4
0,6701;0.8152;4
0,6756;0.874;3
0,7103;1;0
0,6811;0.89;4
0,6925;1.021;0
0,7103;0.9798;3
0,7103;0.7519;4
0,6983;0.8436;3
0,7227;0.8436;2
0,7103;0.8152;2
0,7103;0.8436;3
0,7841;0.8585;3
0,8069;0.8585;3
0,7991;0.9239;3
0,8228;0.874;3
0,831;0.9798;1
0,8069;0.7638;3
0,8228;0.9067;2
0,8148;0.8436;3
0,831;1;3
0,8228;1.021;3
0,8228;0.7887;3
0,8148;0.8585;2
0,831;0.8585;2
0,8228;0.9067;1
0,8479;1.021;0
0,8746;0.8292;2
0,8838;1.05;0
0,8746;0.9798;1
0,831;0.89;2
0,8479;0.874;2
