MQ 3;MQ 135;QCM
1,05;0,9519;1
1,05;1,05;0
1,05;0,89;2
1,05;0,9419;1
1,05;0,8585;2
1,0371;0,7184;3
0,7103;0,7638;3
0,5316;0,6595;5
0,473;0,6018;5
0,4397;0,6335;5
0,417;0,5289;6
0,3985;0,5663;6
0,3907;0,5871;6
0,3945;0,5597;6
0,3945;0,5094;6
0,3945;0,5119;6
0,4004;0,5663;5
0,3965;0,5663;5
0,4004;0,5944;5
0,3888;0,58;5
0,4065;0,5731;6
0,4065;0,4018;6
0,4192;0,4018;6
0,4192;0,6253;5
0,4236;0,7078;3
0,4303;0,6018;4
0,4445;0,6877;4
0,452;0,6976;4
0,4758;0,6976;4
0,4786;0,6976;4
0,5116;0,6686;4
0,5053;0,7184;3
0,5386;0,7404;3
0,5531;0,8292;2
0,5684;0,7404;3
0,5645;0,7078;3
0,5888;0,776;3
0,593;0,7887;3
0,6106;0,8292;3
0,6341;0,8436;2
0,644;0,7292;3
0,6756;0,8017;2
0,6983;0,8152;2
0,6868;0,8585;2
0,6868;0,8436;2
0,7165;0,7404;3
0,7103;0,9798;1
0,7355;0,7887;3
0,7625;0,8292;2
0,7355;0,7887;2
0,7421;0,7638;2
0,7696;0,8436;2
0,7227;0,8152;2
0,7556;0,9605;1
0,7696;0,8292;1
0,7991;0,874;1
0,7768;0,89;0
0,7841;0,8152;0
0,7991;0,9067;0
0,7991;1,0429;0
0,8148;0,7404;0
0,8394;0,9067;2
0,7915;0,7887;2
0,8228;0,9605;2
0,8394;0,8436;2
0,831;0,7638;3
0,831;0,8585;3
0,8479;0,9798;2
0,8566;0,9239;1
0,8933;1;0
0,8655;0,89;0
0,8566;1,05;0
0,8566;0,8436;0
0,8655;1,021;0
0,8655;0,9239;0
0,9332;0,7638;3
0,8933;0,9239;3
0,8933;1,021;0
0,8933;1,0429;0
0,8933;0,9239;0
0,9128;0,7519;3
0,9029;0,874;3
0,9029;1,05;0
0,9437;0,8017;2
0,9029;1,05;0
0,9544;0,8152;2
0,9332;0,874;2
0,9332;0,8585;2
0,9128;0,874;2
0,9229;0,874;2
0,9229;0,8017;2
0,9229;1;0
0,9437;0,9239;0
0,9332;0,8292;0
0,9029;0,9419;0
0,9332;0,8585;3
0,9437;0,8292;3
0,9767;0,8436;3
0,9767;0,9239;3
0,9437;0,874;3
