MQ 3;MQ 135;QCM
1,078;0,9089;2
1,087;0,9239;1
1,053;0,874;1
0,9767;0,874;2
0,6292;0,705;3
0,4961;0,7021;3
0,3907;0,8152;2
0,3528;0,8292;2
0,3281;0,7519;3
0,315;0,58;5
0,3018;0,5175;6
0,303;0,5289;7
0,2972;0,5065;6
0,2939;0,5597;6
0,303;0,5597;6
0,303;0,6419;4
0,3214;0,6094;4
0,3308;0,6094;4
0,3408;0,6686;4
0,3641;0,6335;4
0,3726;0,6335;4
0,4065;0,6419;4
0,4192;0,6595;4
0,4445;0,678;4
0,473;0,7078;3
0,473;0,8017;2
0,5084;0,6595;4
0,535;0,6976;4
0,5386;0,8585;3
0,5531;0,7638;3
0,5805;0,7404;3
0,5805;0,678;4
0,593;0,7519;3
0,5973;0,776;3
0,649;0,7887;3
0,6292;0,8292;2
0,644;0,7184;3
0,6594;0,8585;2
0,644;0,89;2
0,6756;0,8017;2
0,6868;0,7887;3
0,644;0,7404;3
0,6925;0,7887;3
0,6701;0,8017;2
0,7421;0,89;2
0,7043;0,8292;2
0,7043;0,8071;3
0,7165;0,8017;3
0,729;0,8292;2
0,7227;0,8152;2
0,729;0,9419;1
0,729;0,7292;0
0,7421;0,9419;1
0,7421;0,9419;0
0,7488;0,9067;1
0,7556;0,89;2
0,7625;0,8436;2
0,7696;1,0429;0
0,7991;0,8436;1
0,9767;0,89;2
0,9544;0,874;1
0,9654;0,776;2
0,9128;1,0429;0
0,9128;0,8679;2
0,9332;0,9067;1
0,9437;1,021;0
0,9544;0,8292;3
0,9544;0,8585;2
0,9332;0,9419;1
0,9128;0,9605;2
0,9437;0,8436;1
0,9437;0,7887;1
0,9767;1,05;0
1,0121;0,8585;2
0,9767;0,9798;3
0,9544;0,8436;1
0,9437;0,7404;2
0,9332;0,9067;2
0,9767;0,9239;2
0,9437;0,8292;1
0,9654;0,9605;1
0,9767;0,7887;3
1;0,9798;2
0,9332;0,8152;2
0,9654;0,8741;2
0,9654;0,8741;2
0,9544;0,8239;2
0,9654;0,8459;2
1;1,0429;0
0,9029;0,8436;2
0,9654;0,9239;1
1,0121;0,7887;3
1;0,874;2
0,9654;0,874;2
0,9767;0,874;2
0,9654;0,8292;2
0,9767;0,8097;2
0,9654;0,8675;2
0,9544;0,8474;2
1,077;0,9279;3
