MQ 3;MQ 135;QCM
0.9437;0,9067;1
0.9437;0,874;0
0,8933;0,9239;2
0,9437;0,8436;2
0,9437;0,9419;3
0.8148;0.776;3
0.8148;0.7605;3
0.8394;0.7017;3
0.8228;0.7404;3
0.8069;0.7184;3
0.8148;0.5289;5
0.8069;0.5731;5
0.8148;0.5663;5
0.831;0.5012;5
0.8148;0.5065;5
0.7915;0.5175;5
0.8228;0.5119;6
0.8148;0.5731;6
0.8566;0.5231;5
0.8148;0.496;6
0.8069;0.496;6
0.8746;0.547;5
0.8069;0.5231;5
0.8069;0.5175;4
0.8228;0.5408;5
0.7841;0.5231;4
0.831;0.547;5
0.8148;0.6335;5
0.8069;0.6686;4
0.8148;0.6172;4
0.7991;0.5944;5
0.8566;0.6335;3
0.8746;0.6976;3
0.831;0.6595;4
0.8479;0.678;5
0.7915;0.6335;4
0.7991;0.6976;4
0.8479;0.678;4
0.8566;0.7184;4
0.8148;0.7292;4
0.8394;0.6686;4
0.831;0.7184;4
0.8228;0.8585;5
0.8394;0.776;3
0.8479;0.7184;4
0.7915;0.7078;4
0.8148;0.89;4
0.8228;0.9239;4
0.8479;0.7404;4
0.8228;0.7887;3
0.7915;0.7184;3
0.8228;0.9605;4
0.8479;0.8152;3
0.8148;0.7519;3
0.7991;0.89;4
0.8228;0.776;4
0.8148;0.7887;4
0.8228;0.8017;3
0.8228;0.9239;4
0.8838;0.8585;3
0.7915;0.89;2
0.8746;0.874;4
0.831;0.7887;3
0.8228;0.874;3
0.831;0.8292;3
0.7991;0.776;4
0.8148;0.9419;4
0.8228;0.7887;4
0.8228;0.8292;4
0.8394;0.8292;4
0.8479;0.8017;3
0.8228;0.9798;4
0.831;0.7887;4
0.8228;0.8436;2
0.8148;0.8152;3
0.7841;0.874;4
0.8228;0.8436;3
0.8566;0.8987;2
0.8228;0.8753;2
0.8228;0.9798;3
0.8069;0.7519;3
0.831;0.8436;3
0.8566;0.8436;3
0.8566;0.8152;3
0.8394;0.8436;2
0.7991;0.8585;3
0.8228;0.8585;2
0.8933;0.9239;3
0.8148;0.874;3
0.8228;0.9798;3
0.8069;0.7638;4
0.8228;0.9067;2
0.8479;0.8436;2
0.831;0.923;3
0.8228;0.8558;3
0.8148;0.7887;4
0.8655;0.8585;4
0.8228;0.8585;2
0.8746;0.9067;1
0.831;0.8292;2
