MQ 3;MQ 135;QCM
0,9128;0,9067;1
0,9229;0,8585;2
0,9437;0,89;2
0,9128;0,7292;3
0,9229;0,5408;5
0,9029;0,5348;5
0,8933;0,4909;6
0,9332;0,5175;5
0,9029;0,5597;6
0,9128;0,5533;5
0,9332;0,5597;6
0,9128;0,5731;5
0,8933;0,58;5
0,9437;0,6253;5
0,9029;0,6686;5
0,9437;0,6094;4
0,9029;0,6877;6
0,8838;0,6172;6
0,9437;0,6094;5
0,9654;0,6419;5
0,9029;0,6018;3
0,8838;0,6172;4
0,9128;0,6253;5
0,9128;0,6335;4
0,9029;0,776;3
0,8933;0,7404;3
0,9767;0,6686;4
0,9229;0,6595;4
0,9229;0,7078;4
0,9029;0,7519;3
0,9229;0,7184;3
0,9229;0,7292;3
0,9332;0,7404;3
0,8933;0,7404;3
0,9332;0,7184;3
0,9128;0,7519;3
0,9128;0,776;3
0,9229;0,7519;0
0,9544;0,776;2
0,9128;0,7638;3
0,9128;0,874;3
0,8933;0,874;2
0,9128;0,8436;1
0,9029;0,9605;1
0,9128;0,9067;1
0,9332;0,8017;2
0,9128;0,9239;1
0,8933;0,874;1
0,9654;0,8017;1
0,9229;0,9605;2
0,9128;0,9419;1
0,9767;0,8017;1
0,9332;0,8017;2
0,9544;0,8017;2
0,9029;1;0
0,9029;0,9605;0
0,9332;0,776;0
0,9128;0,9239;0
0,9128;0,9419;1
0,9029;0,8292;1
0,9128;0,8292;1
0,9128;0,9239;1
0,9029;0,8436;3
0,9128;0,8152;2
0,9654;0,89;2
0,9229;0,8436;1
0,9128;0,89;0
0,9128;0,89;1
0,9332;0,8436;1
0,8746;0,7887;3
0,9029;0,9798;2
0,9437;0,7887;3
0,9767;0,89;2
0,8933;0,9605;3
0,9544;0,8017;2
0,9128;0,8436;3
0,9029;0,9798;3
0,9128;0,9605;3
0,9544;0,8436;2
0,9332;0,8585;2
0,9767;0,8292;2
0,9029;0,8436;4
0,9128;1;4
0,9128;0,8017;4
0,9229;0,8292;3
0,8933;0,9605;3
0,9128;0,9239;0
0,9654;0,9067;0
0,9229;1,021;0
0,9882;0,9239;0
0,8933;0,8436;0
0,9029;1,05;1
0,9128;0,9605;1
0,9654;0,9067;1
0,8746;0,8017;2
0,9128;1,0429;2
0,9029;0,8436;2
0,9128;0,8585;0
0,9128;1,05;1
0,9029;0,9239;2
