MQ 3;MQ 135;QCM
0,8655;0,9887;1
0,9332;0,9605;1
0,9332;1,05;0
0,9332;0,874;2
0,9332;0,9605;1
0,8933;0,7078;3
0,9544;0,6976;5
0,9332;0,7078;3
0,9128;0,5871;7
0,9332;0,6686;6
0,9029;0,5408;7
0,9229;0,58;7
0,9332;0,6018;5
0,9437;0,58;7
0,9229;0,6018;6
0,8933;0,5944;7
0,9654;0,5871;7
0,9332;0,5871;7
0,9332;0,6335;7
0,9332;0,678;6
0,8933;0,6094;6
0,9229;0,6877;6
0,9437;0,7292;4
0,9654;0,6877;5
0,9332;0,8152;4
0,8838;0,6335;5
0,9437;0,7184;3
0,9654;0,7404;3
0,9229;0,7078;3
0,9332;0,8585;2
0,9544;0,6686;4
0,9437;0,9239;1
0,9544;0,7638;3
0,9229;0,9067;0
0,9882;0,7519;3
0,8838;0,7292;3
0,9437;0,874;2
0,9544;0,776;3
0,9332;0,8017;2
0,9544;0,8152;3
0,9229;0,7292;2
0,9332;0,9067;0
0,9128;1,0429;0
0,9332;0,9419;0
0,9229;0,9798;0
0,9029;0,8436;1
0,9654;0,8017;1
0,9332;1;1
0,9544;0,8436;1
0,9229;0,8152;1
0,9544;0,8017;2
0,9029;0,9605;2
0,9437;0,8436;1
0,9229;0,9419;2
0,9437;0,8585;3
0,9332;0,7887;2
0,9437;0,8017;2
0,9332;0,8436;3
0,9332;0,9798;3
0,9882;0,8436;3
0,8933;0,89;2
0,9654;0,8152;1
0,9332;0,9605;2
0,9332;0,8585;1
0,9229;0,9798;3
0,8933;0,9239;2
0,9544;0,8292;2
0,9437;1,05;2
0,9437;1,021;1
0,9437;0,874;2
0,8838;0,89;1
0,9437;0,8436;3
0,9332;0,8585;2
0,9332;0,9419;0
0,9544;0,8436;0
0,9654;0,8436;0
0,9767;0,9239;0
0,9437;1,05;2
0,9437;0,8152;2
0,9544;0,8585;2
0,9332;0,7638;1
0,9654;0,8436;2
0,9437;0,89;3
0,9332;1,05;2
0,9654;0,8152;1
0,9544;0,8585;2
0,9767;0,874;3
0,9332;1,021;2
0,9437;1,05;1
1,0121;0,9419;2
0,8933;0,9067;3
0,9437;0,8585;1
0,9654;0,9419;2
0,9437;0,89;3
0,9882;0,89;2
0,8746;0,776;1
0,9332;0,8585;2
0,9544;0,9798;3
0,9332;1,0429;2
0,9332;0,8585;1
