MQ 3;MQ 135;QCM
0,9128;0,9519;1
0,9437;1,05;0
0,9767;0,89;2
1,0121;0,9419;1
0,9654;0,8585;2
0,9128;0,7184;3
1,0244;0,7638;3
0,9437;0,6595;5
0,9437;0,6018;5
0,9544;0,6335;5
0,8933;0,5289;6
0,9882;0,5663;6
0,9437;0,5871;6
1,0244;0,5597;6
0,9544;0,5094;6
0,9029;0,5119;6
1,0244;0,5663;5
0,9437;0,5663;5
0,9332;0,5944;5
1,0244;0,58;5
0,9229;0,5731;6
0,9544;0,4018;6
0,9882;0,4018;6
0,9437;0,6253;5
0,9437;0,7078;3
0,9229;0,6018;4
0,9437;0,6877;4
0,9544;0,6976;4
0,9229;0,6976;4
0,9654;0,6976;4
0,9029;0,6686;4
0,9882;0,7184;3
0,9767;0,7404;3
0,9332;0,8292;2
0,9654;0,7404;3
0,9029;0,7078;3
0,9544;0,776;3
0,9544;0,7887;3
0,9882;0,8292;3
1,0371;0,8436;2
0,9029;0,7292;3
0,9544;0,8017;2
0,9544;0,8152;2
0,9882;0,8585;2
1,0244;0,8436;2
0,9029;0,7404;3
0,9437;0,9798;1
0,9882;0,7887;3
0,9882;0,8292;2
0,9544;0,7887;2
0,9128;0,7638;2
0,9767;0,8436;2
0,9882;0,8152;2
0,9437;0,9605;1
0,9544;0,8292;1
0,9029;0,874;1
1;0,89;0
1;0,8152;0
0,9654;0,9067;0
0,9544;1,0429;0
0,9128;0,7404;0
1,0371;0,9067;2
0,9767;0,7887;2
0,9437;0,9605;2
0,9767;0,8436;2
0,8933;0,7638;3
0,9437;0,8585;3
0,9229;0,9798;2
0,9332;0,9239;1
0,9437;1;0
0,9029;0,89;0
0,9544;1,05;0
0,9654;0,8436;0
0,9437;1,021;0
0,9882;0,9239;0
0,9128;0,7638;3
1;0,9239;3
0,9544;1,021;0
0,9332;1,0429;0
1,0244;0,9239;0
0,9437;0,7519;3
0,9544;0,874;3
0,9544;1,05;0
0,9654;0,8017;2
0,9544;1,05;0
0,9128;0,8152;2
0,9544;0,874;2
0,9654;0,8585;2
0,9437;0,874;2
0,9437;0,874;2
0,9128;0,8017;2
0,9229;1;0
0,9544;0,9239;0
0,9654;0,8292;0
1,0244;0,9419;0
0,9029;0,8585;3
1;0,8292;3
0,9767;0,8436;3
1,0244;0,9239;3
0,9437;0,874;3
