MQ 3;MQ 135;QCM
0,9437;1,05;1
1,0244;0,89;1
0,9029;0,8152;2
0,9229;1,021;0
0,9544;0,8436;1
1,0121;0,9605;1
0,9229;0,9605;2
0,9654;0,6877;5
0,9332;0,8292;2
0,9229;0,6419;5
0,9767;0,6253;5
0,9332;0,6686;6
0,9128;0,5533;7
0,9654;0,5871;6
0,9437;0,6094;6
0,9544;0,6335;6
0,9882;0,6094;5
0,8746;0,6094;5
0,9332;0,6506;5
0,9437;0,7184;3
0,9332;0,6335;5
0,9544;0,6506;4
0,8933;0,6877;5
0,9332;0,8017;3
0,9437;0,7078;3
0,9544;0,7184;3
0,9544;0,7078;3
0,9229;0,6595;4
1,0244;0,7404;3
0,9332;0,7638;3
0,9544;0,7519;3
0,9229;0,7292;3
0,9128;0,7184;3
0,9332;0,9067;1
0,9544;0,8017;2
0,9767;0,8017;2
0,9229;0,89;2
0,9332;0,7292;3
0,9437;0,8152;2
0,9332;0,9067;1
0,9654;0,7638;3
0,9882;0,8152;2
0,9332;0,7404;3
1,0244;0,8152;2
0,9437;0,9239;1
0,9332;0,9798;0
0,9544;0,8436;0
0,8933;0,7184;3
1;0,8152;2
0,9544;0,8585;2
0,9332;0,8436;2
0,9437;1;0
0,9332;0,7887;3
0,9437;0,9067;1
0,9437;0,8585;2
0,9437;0,9605;1
0,9654;0,8017;2
0,9128;0,7404;3
0,9882;0,8152;2
0,9437;1;0
0,9437;0,874;2
0,9128;0,9798;1
0,9332;0,7404;3
0,9544;0,8585;2
0,9544;0,8292;2
0,9544;0,8585;2
0,9437;0,874;2
0,8655;0,874;2
1,0121;0,9239;1
0,9332;0,9419;1
0,9437;1,0429;1
0,9544;0,874;1
0,9128;0,7638;2
0,9229;0,8585;2
0,9544;0,8585;2
0,9332;0,9798;1
0,9437;0,9419;1
0,8933;0,9239;1
1,0121;0,9419;1
0,9544;0,8585;2
0,9544;0,89;2
0,9654;0,8436;2
0,8933;0,874;2
0,9437;0,874;2
0,9437;0,89;2
0,9229;0,9798;1
0,9437;0,9239;1
0,9029;0,9605;1
0,9654;0,8585;1
0,9437;1,0429;0
0,9437;1,05;0
0,9654;0,9419;1
0,9029;0,8017;2
0,9767;0,874;2
0,9332;0,874;2
0,9882;0,8292;2
0,9437;1,05;0
0,8838;0,8436;2
0,9332;1,021;0
0,9654;0,8436;2
