MQ 3;MQ 135;QCM
0.8148;0.9776;1
0.8148;0.9605;1
0.8394;0.8017;2
0.8228;0.7404;3
0.8069;0.7184;3
0.8148;0.5289;6
0.8069;0.5731;5
0.8148;0.5663;5
0.831;0.5012;5
0.8148;0.5065;6
0.7915;0.5175;6
0.8228;0.5119;6
0.8148;0.5731;6
0.8566;0.5231;5
0.8148;0.496;7
0.8069;0.496;7
0.8746;0.547;6
0.8069;0.5231;5
0.8069;0.5175;5
0.8228;0.5408;5
0.7841;0.5231;5
0.831;0.547;5
0.8148;0.6335;4
0.8069;0.6686;4
0.8148;0.6172;4
0.7991;0.5944;5
0.8566;0.6335;5
0.8746;0.6976;5
0.831;0.6595;4
0.8479;0.678;4
0.7915;0.6335;5
0.7991;0.6976;5
0.8479;0.678;5
0.8566;0.7184;3
0.8148;0.7292;3
0.8394;0.6686;4
0.831;0.7184;3
0.8228;0.8585;2
0.8394;0.776;3
0.8479;0.7184;3
0.7915;0.7078;3
0.8148;0.89;2
0.8228;0.9239;1
0.8479;0.7404;3
0.8228;0.7887;3
0.7915;0.7184;3
0.8228;0.9605;1
0.8479;0.8152;2
0.8148;0.7519;3
0.7991;0.89;2
0.8228;0.776;3
0.8148;0.7887;3
0.8228;0.8017;2
0.8228;0.9239;1
0.8838;0.8585;2
0.7915;0.89;2
0.8746;0.874;2
0.831;0.7887;3
0.8228;0.874;2
0.831;0.8292;2
0.7991;0.776;3
0.8148;0.9419;1
0.8228;1.021;0
0.8228;0.8292;2
0.8394;0.8292;2
0.8479;0.8017;2
0.8228;0.9798;1
0.831;0.7887;3
0.8228;0.8436;2
0.8148;0.8152;2
0.7841;0.874;2
0.8228;1;0
0.8566;0.89;2
0.8228;1.021;-2
0.8228;0.9798;3
0.8069;0.7519;3
0.831;0.8436;3
0.8566;0.8436;2
0.8566;0.8152;2
0.8394;0.8436;3
0.7991;0.8585;3
0.8228;0.8585;3
0.8933;0.9239;3
0.8148;0.874;3
0.8228;0.9798;2
0.8069;0.7638;2
0.8228;0.9067;2
0.8479;0.8436;3
0.831;1;0
0.8228;1.021;0
0.8148;0.7887;3
0.8655;0.8585;2
0.8228;0.8585;2
0.8746;0.9067;3
0.831;1.021;0
0.831;0.8292;4
0.831;1.05;0
0.831;0.9798;5
0.8566;0.89;5
0.831;0.874;0
