MQ 3;MQ 135;QCM
1;1,2918;0
0,9767;0,9798;1
0,9654;0,9067;2
0,9437;0,9605;1
0,9544;0,9798;1
0,9882;0,9239;2
1;0,9419;1
1,0121;0,9798;2
0,9767;1;0
0,9882;0,9419;0
0,9882;1,0429;0
0,9767;1,0657;0
1,0634;0,9798;0
0,9332;0,9419;1
1,0501;1;2
0,9767;1,021;1
1,0371;0,9605;1
1;0,9419;1
1;0,874;1
1;0,9798;1
0,9882;0,9239;1
1;0,9419;0
0,9882;1,0429;0
0,9544;0,9239;1
1,0501;0,9419;1
1;0,9798;1
0,9882;0,9419;1
0,9882;0,9419;1
0,9544;1,0429;0
1,0371;1,0896;0
0,9882;1;0
1;1,168;0
1,0121;1,0429;0
0,9437;1;0
0,9882;0,9798;1
1,0371;1,1145;0
1;0,9605;1
1,0121;0,9419;1
1,0244;0,89;2
1,0244;1,0896;1
0,9544;0,9798;1
1,0371;1,2918;0
1,0244;0,9419;1
0,9882;0,9798;1
1,0121;0,9605;1
1,0244;1;0
1;0,9605;1
1,0244;0,9605;2
0,9544;0,874;2
1;0,9067;1
1,0244;0,9605;1
1,0244;0,9605;2
1,0121;0,9798;1
0,9767;0,8585;1
1;0,9605;2
1,0501;1,168;0
1,0244;0,9419;1
1,077;1,1407;0
0,9882;0,89;2
1;1,0429;1
1,0244;1,1967;0
1,0634;0,9798;1
1,0371;1,0896;0
1,0244;0,874;2
1,0371;0,9798;1
1,0634;1,021;0
1,0244;0,9605;1
1,091;0,9605;1
0,9767;0,8585;2
1,077;0,9798;1
1,0244;0,9239;1
1,0244;0,9239;1
1,0501;1,168;0
0,9437;0,874;2
1,0121;0,9239;1
1,0371;1,021;0
1,0244;0,9419;1
1;0,9239;1
0,9544;0,874;2
1,0634;0,9798;1
1,0121;0,9798;1
1,1053;1;0
1,077;0,9605;1
0,9229;0,8585;2
1,0501;1,2918;0
1,0244;1,0657;0
1,0244;1,1967;0
1,0121;0,9067;2
0,9229;0,9067;1
1,1201;0,9798;1
1,0244;0,9239;1
1,0371;1,1967;0
1,0371;0,9419;1
1,0634;1,0657;0
1,0244;1,0657;0
1,091;1;0
1,0244;1,168;0
1,0244;0,9605;1
0,9767;1,0429;0
1,0121;0,9798;1
0,9767;1,168;0
1,0501;0,9605;1
1,0121;0,9239;1
1;1,021;0
1,0501;1,1407;0
0,9882;0,9605;2
1,0634;1,2918;1
1,0244;1,0896;1
0,9767;0,9239;0
1,0371;1,1967;1
1,091;0,9798;0
1;0,9419;1
1;0,9605;1
1,0244;0,89;2
1,0244;1,0896;0
1,0121;0,9605;1
1,0501;1,2585;1
1,077;1,2918;1
0,9767;0,8436;2
1,0121;0,9798;1
1,077;0,9798;1
1,0371;1;0
1,0371;1,1407;1
1,0121;1,0657;1
1,0501;1,1145;1
1,0121;1,168;1
1,0634;1,2268;0
1,077;1,0896;0
0,9882;0,9419;1
1,0634;1,0657;0
1,1053;1,021;0
1,1053;1;0
1,1507;1;0
0,9882;0,9239;1
1,0371;1,0429;0
1,0501;0,9419;1
1,0244;1,021;0
1,0501;1,168;0
0,9767;1,021;0
1,0371;1,1407;0
1,0371;1,1407;0
1,0634;1,0896;0
1,077;0,9605;0
0,9882;0,89;0
1,0244;0,9798;3
1,0371;0,9605;1
1,0501;0,9605;1
1,1352;1;0
1,0371;1,168;1
1,0634;1,168;0
1,077;1,168;0
1,091;1,1967;0
1,1667;1;0
0,9767;0,8585;2
1,0501;0,9798;1
1,091;1,1145;0
1,0501;1;0
1,1053;0,9798;1
1,0501;0,89;2
1,077;1;0
1,077;1,2918;0
1,0371;0,9798;0
1,0371;1;0
0,9654;0,89;2
1;0,9798;1
1,0501;0,9419;1
1,1201;1;0
1,0121;0,9798;1
0,9767;1,0429;0
0,9882;1;0
1,0121;1,0429;0
1,0244;0,9239;1
1,077;0,9798;1
1,0501;1,0429;0
1,1201;1,0429;0
1,1201;0,9605;1
1,0244;0,9419;2
1,0501;0,9798;1
1,0244;1,1407;0
1,0121;0,9239;1
