MQ 3;MQ 135;QCM
0,8838;0,9239;1
0,8566;1,05;0
0,8838;1,05;1
0,8746;1,021;1
0,3907;0,9419;1
0,2172;0,9605;1
0,1699;0,8292;1
0,1564;0,776;1
0,1525;0,8436;0
0,1551;0,6877;2
0,1528;0,7638;0
0,1561;0,7519;1
0,1588;0,6686;1
0,1585;0,7292;1
0,1649;0,6506;0
0,1649;0,6976;1
0,1672;0,6976;0
0,1703;0,8152;0
0,1718;0,776;0
0,1798;0,6595;-1
0,1739;0,8017;0
0,1739;0,6877;1
0,1776;0,7184;0
0,1806;0,7184;1
0,1865;0,6419;1
0,1811;0,8292;3
0,1856;0,6976;4
0,1903;0,7638;2
0,1938;0,776;2
0,201;0,7078;2
0,2005;0,7078;2
0,2037;0,7292;1
0,2129;0,7184;1
0,2165;0,7184;0
0,2242;0,6877;1
0,2248;0,8436;0
0,2302;0,776;0
0,2388;0,7292;0
0,2465;0,7292;0
0,2563;0,7078;1
0,2641;0,776;1
0,2705;0,776;1
0,2743;0,874;0
0,2833;0,8152;0
0,295;0,8292;1
0,2995;0,7638;0
0,3077;0,8436;1
0,3163;0,776;1
0,3308;0,776;0
0,3336;0,7519;0
0,3379;1;0
0,3437;0,89;1
0,3513;0,9067;0
0,3528;0,8585;0
0,3658;0,7292;1
0,3691;0,9239;1
0,3761;0,9239;1
0,3814;0,9067;1
0,387;0,8017;1
0,3907;0,8152;1
0,3888;0,8152;1
0,3985;0,9239;1
0,4065;0,8436;1
0,4065;0,8292;1
0,4149;0,8017;1
0,4192;0,9419;1
0,4258;0,9798;1
0,4326;0,8292;0
0,4373;0,9419;1
0,4373;0,9067;1
0,4421;0,8436;0
0,4421;0,8436;1
0,473;0,874;1
0,4703;0,89;3
0,4596;0,8585;2
0,4843;0,8292;1
0,4649;0,874;1
0,473;0,8292;1
0,4758;0,9239;1
0,4786;0,874;1
0,4872;0,89;1
0,4901;0,9798;1
0,5148;0,89;1
0,4961;0,9239;0
0,4991;0,8436;1
0,5084;0,9798;-1
0,5181;0,8292;0
0,5281;0,9067;1
0,5247;0,89;1
0,5148;1;1
0,5214;0,9605;0
0,5568;0,9605;0
0,535;0,9067;2
0,535;1,0429;1
0,5421;0,8152;1
0,5684;0,89;0
0,5494;1,05;1
0,5457;0,8436;0
0,5645;0,89;1
0,5606;0,8152;0
0,5645;0,89;0
0,5568;0,8585;1
0,5645;1,021;0
0,5684;1,05;0
0,5568;0,8292;1
0,5684;0,89;0
0,5724;1,05;0
0,593;0,9067;1
0,5805;0,9605;0
0,5764;0,7887;-1
0,5888;0,9239;1
0,5846;0,874;1
0,6106;0,9239;1
0,6198;0,89;1
0,5846;0,9239;1
0,5973;1;1
0,6341;0,9239;1
0,6061;1,021;1
0,6061;1;1
0,6106;0,8152;1
0,6106;1;0
0,6341;0,9239;1,1
0,639;0,9239;1
0,6198;0,9798;1
0,6152;0,8017;0
0,6245;0,9419;1
0,644;0,9239;0
0,6292;0,8585;1
0,644;0,9239;0
0,6245;0,89;0
0,6594;0,89;0
0,639;1;1
0,649;0,9239;2
0,6647;0,874;1
0,649;0,8436;1
0,644;0,9067;1
0,649;1,021;1
0,6756;0,9239;0
0,649;0,89;1
0,644;0,8585;1
0,6868;0,89;0
0,6594;0,89;1
0,6594;1,021;1
0,6542;0,9798;1
0,6701;0,8152;1
0,6701;0,9067;1
0,6925;0,9067;1
0,6925;0,9239;0
0,6868;1,05;1
0,6756;1,021;1
0,6983;0,9419;1
0,6811;0,874;1
0,6701;0,89;1
0,6811;1,0429;0
0,6868;0,8292;0
0,7103;0,9067;1
0,6983;0,89;0
0,729;0,9239;0
0,7165;0,89;1
0,6925;0,9419;0
0,6868;0,9239;1
0,7227;0,9419;0
0,6983;0,8585;1
0,7043;0,89;1
0,6811;0,9605;1
0,6983;0,89;0
0,7103;1,05;1
0,7103;1,05;0
0,7165;1,05;0
0,6925;0,7887;1
0,7165;0,874;1
0,7165;0,89;0
0,729;1,021;1
0,7227;0,9067;0
0,7043;0,9239;1
0,7421;0,9239;0
0,7165;1,05;1
0,7488;0,9419;0
0,7488;0,9067;1
0,7043;0,7887;1
