MQ 3;MQ 135;QCM
1,05;1,021;0
1,05;1;1
1,05;1;2
1,05;1,05;1
1,05;1;1
1,05;0,9798;2
1,05;1;1
1,05;1,05;2
1,05;1,05;0
1,05;1,05;0
1,05;0,9798;0
1,05;1,021;0
1,05;1,021;0
1,05;1;1
1,05;1,05;2
1,05;1,05;1
1,05;1;1
1,05;1;1
1,05;1,05;1
1,05;1,05;1
1,05;1;1
1,05;1,05;0
1,05;1,021;0
1,05;1,05;1
1,05;0,9419;1
1,05;1,05;1
1,05;1;1
1,05;1,05;1
1,05;1,05;0
1,05;0,9798;0
1,05;1,021;0
1,05;0,9605;0
1,05;1,05;0
1,05;1;0
1,05;1,0429;1
1,05;1,05;0
1,05;1,05;1
1,05;1;1
1,05;0,9419;2
1,05;1,05;1
1,05;1;1
1,05;1,021;0
1,05;1,021;1
1,05;1;1
1,05;1,05;1
1,05;0,9605;0
1,05;1,05;1
1,05;1,05;2
0;1,05;2
1,05;1,05;1
1,05;1,05;1
1,05;1,05;2
1,05;1,05;1
1,05;1;1
500;0,9419;2
1,05;1,021;0
1,05;1,0429;1
1,05;0,9798;0
1,05;1;2
1,05;1;1
1,05;1,05;0
1,05;1,05;1
1,05;1;0
1,05;1,05;2
1,05;0,9605;1
1,05;1,05;0
1,05;0,9605;1
1,05;1,05;1
1,05;1,021;2
1,05;1,05;1
1,05;1;1
1,05;0,9605;1
1,05;1,0429;0
1,05;0,9605;2
1,05;1,05;1
1,05;0,9798;0
1,05;1,05;1
1,05;1;1
1,05;1,05;2
1,05;0,9798;1
1,05;1,05;1
1,05;1,05;0
1,05;1,05;1
1,05;1,05;2
1,05;1,05;0
1,05;1,05;0
1,05;1,05;0
1,05;1;2
1,05;1,05;1
1,05;1,05;1
1,05;1,021;1
1,05;1,05;0
1,05;1,05;1
1,05;0,9798;0
1,05;1,05;0
1,05;1;0
1,05;1,05;0
1,05;0,9798;1
1,05;1,05;0
1,05;1,05;1
1,05;0,9419;0
1,05;1,05;1
1,05;1,05;1
1,05;1,021;0
1,05;1,05;0
1,05;1,05;2
1,05;1;1
1,05;1;1
1,05;1,05;0
1,05;1;1
1,05;1,05;0
1,05;1;1
1,05;1,05;1
1,05;1,05;2
1,05;1,05;0
1,05;1,0429;1
1,05;1,0429;1
1,05;0,9605;1
1,05;1,05;2
1,05;1;1
1,05;0,9798;1
1,05;1,05;0
1,05;1,021;1
1,05;0,9798;1
1,05;1,05;1
1,05;1,05;1
1,05;1,05;0
1,05;1,021;0
1,05;1,05;1
1,05;1;0
1,05;1;0
1,05;1,021;0
1,05;0,9798;0
1,05;1,021;1
1,05;1,021;0
1,05;1,05;1
1,05;0,9798;0
1,05;1,05;0
1,05;1,05;0
1,05;0,9605;0
1,05;1,021;0
1,05;1,05;0
1,05;1,05;0
1,05;1,05;0
1,05;1,021;3
1,05;1,05;1
1,05;1,05;1
1,05;0,9798;0
1,05;1,021;1
1,05;1,05;0
1,05;1,05;0
1,05;1,05;0
1,05;0,9798;0
1,05;1,05;2
1,05;1,05;1
1,05;1,021;0
1,05;1,05;0
1,05;0,9419;1
1,05;1;2
1,05;1,05;0
1,05;1,0429;0
1,05;1,021;0
1,05;1,05;0
1,05;1,021;2
1,05;1,05;1
1,05;1;1
1,05;0,9419;0
1,05;1,05;1
1,05;0,9605;0
1,05;1,021;0
1,05;1;0
1,05;1,05;1
1,05;1;1
1,05;1;0
1,05;1,021;0
1,05;1,05;1
1,05;0,9419;2
1,05;0,9605;1
1,05;1,021;0
1,05;1,05;1
1,05;1,05;
1,05;1,0429;
1,05;1,05;
1,05;1;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;0,9419;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,021;
1,05;1,05;
1,05;0,9798;
1,05;1,021;
1,05;1,021;
1,05;1,05;
1,05;1,05;
1,05;0,9419;
1,05;1,05;
1,05;0,9798;
1,05;1;
1,05;1,0429;
1,05;1,021;
1,05;0,9605;
1,05;1,05;
1,05;0,9798;
1,05;0,9605;
1,05;1,05;
1,05;1,05;
1,05;1;
1,05;1,05;
1,05;0,9798;
1,05;1,05;
1,05;0,9798;
1,05;0,9605;
1,05;1,05;
1,05;0,9798;
1,05;1,05;
1,05;1;
1,05;1,05;
1,05;1;
1,05;1;
1,05;1,05;
1,05;0,9605;
1,05;1;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,0429;
1,05;0,9605;
1,05;1,05;
1,05;0,9605;
1,05;0,9798;
1,05;1,021;
1,05;1;
1,05;1;
1,05;1,021;
1,05;1;
1,05;0,9798;
1,05;0,9605;
1,05;1,021;
1,05;0,9605;
1,05;0,9605;
1,05;0,9605;
1,05;1;
1,05;1,05;
1,05;1,05;
1,05;1,021;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,05;
1,05;1,021;
1,05;1,05;
1,05;1,05;
1,05;1,0429;
1,05;0,9605;
1,05;0,9798;
1,05;0,9605;
1,05;1,05;
1,05;1,05;
1,05;0,9605;
1,05;1,0429;
1,05;1,05;
1,05;1,05;
1,05;1;
1,05;1,021;
1,05;1;
1,05;1;
1,05;1,021;
1,05;1,05;
1,05;1,05;
1,05;1,0429;
1,05;1,05;
1,05;1;
1,05;1,021;
1,05;1,021;
1,05;1,05;
1,05;1,021;
1,05;1,05;
1,05;1,021;
1,05;1,05;
1,05;0,9605;
1,05;1,021;
1,05;1,021;
1,05;1,021;
1,05;1,021;
1,05;0,9605;
1,05;1,021;
1,05;1,05;
1,05;0,9798;
1,05;1,0429;
1,05;1,05;
1,05;1;
